CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U55101AN2007PTC000082,GOLDEN REST ROOM PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",26-03-07,Andaman and Nicobar Islands,RoC-Chennai,Trading,Golden Rest room Prem Nagar Port Blair Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U01111AN2007PTC000087,ANDAMAN AGRO PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","100,000.00",06-08-07,Andaman and Nicobar Islands,RoC-Chennai,Agriculture and Allied Activities,Sadha Bhavan Gurudwara Lane Port Blair Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U45201AN2007PTC000086,ANDAMAN NIRMAN PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","2,000,000.00",11-07-07,Andaman and Nicobar Islands,RoC-Chennai,Construction,Junglighat Port Blair Andaman and Nicobar Islands INDIA 744102,Indian Non-Government Company
U62200AN2007PTC000227,ABLE AVIATION (INDIA) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"20,000,000.00","10,000,000.00",20-09-07,Andaman and Nicobar Islands,RoC-Chennai,"Transport, storage and Communications","HOUSE NO.M.B-210, PART-II, NEAR INCOME TAX OFFICE VILL SHADIPUR PO, SHADIPUR PS PORT BLAIR Andaman and Nicobar Islands INDIA 744106",Indian Non-Government Company
U52190AN1996PTC000053,IMPERIAL AGENCIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,500,000.00","2,500,000.00",10-07-96,Andaman and Nicobar Islands,RoC-Chennai,Trading,2 Middle Point Port Blair Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U52190AN1997PTC000055,EMERALD MARKETING SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","930,400.00",07-01-97,Andaman and Nicobar Islands,RoC-Chennai,Trading,"10 Gandhi Bhavan Phoenix Bay, Port Blair South Andaman Andaman and Nicobar Islands INDIA 744101",Indian Non-Government Company
U55101AN2001PTC000067,HOTEL APARUPA (ANDAMANS) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","335,000.00",06-12-01,Andaman and Nicobar Islands,RoC-Chennai,Trading,Goal Guar Link Road Port Blair Andaman and Nicobar Islands INDIA 744101,Indian Non-Government Company
U51909AN1975PTC000002,JADWET TRADING COMPANY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",16-12-75,Andaman and Nicobar Islands,RoC-Chennai,Trading,XX XX Andaman and Nicobar Islands INDIA 744104,Indian Non-Government Company
U45201AN2004PTC000072,LOKENATH REAL ESTATE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","170,000.00",20-05-04,Andaman and Nicobar Islands,RoC-Chennai,Construction,14 FMC Road PremNagar Port Blair Andaman and Nicobar Islands INDIA 744102,Indian Non-Government Company
U63022AN1984PTC000013,ANDABAR COLD STORES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","361,000.00",16-11-84,Andaman and Nicobar Islands,RoC-Chennai,"Transport, storage and Communications","LAMBA LANE, JUNGLIGHAT PORTBLAIR ANDAMANS Andaman and Nicobar Islands INDIA 744103",Indian Non-Government Company
