CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U20211AR1994PTC004053,RIMA VENEERS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","1,940,000.00",06-01-94,Arunachal Pradesh,RoC-Shillong,Manufacturing (Wood Products),P.O NAMPONG Arunachal Pradesh INDIA,Indian Non-Government Company
U20211AR1962PLC001199,NOCTE TIMBER CO LTD,UNDER LIQUIDATION,Public,Company Limited by Shares,"5,000,000.00","2,832,660.00",17-11-62,Arunachal Pradesh,RoC-Shillong,Manufacturing (Wood Products),DEOMALI TIRAP Arunachal Pradesh INDIA,Indian Non-Government Company
U02001AR1977SGC001693,ARUNACHAL PRADESH FOREST CORPORATION LIMITED,DORMANT,Private,Company Limited by Shares,"62,000,000.00","44,972,000.00",31-03-77,Arunachal Pradesh,RoC-Shillong,Agriculture and Allied Activities,VAN VIHAR CHIMPU POST BOX NO 123 ITANAGAR Arunachal Pradesh INDIA 791111,State Government Company
U31103AR1977PLC001695,LOHIT FOREST PRODUCTS LTD,STRIKE OFF,Public,Company Limited by Shares,"2,500,000.00",700,31-03-77,Arunachal Pradesh,RoC-Shillong,Manufacturing (Machinery & Equipments),"TEZU, LOHIT, TEZU, Arunachal Pradesh INDIA",Indian Non-Government Company
U20101AR1977PLC001708,ARUNACHAL FOREST PRODUCTS LIMITED,STRIKE OFF,Public,Company Limited by Shares,"30,000,000.00","2,400,000.00",31-05-77,Arunachal Pradesh,RoC-Shillong,Manufacturing (Wood Products),KHARSANG NAMCHIK CHANGLANG Arunachal Pradesh INDIA,Indian Non-Government Company
U20101AR1977PTC001718,WANCHOO VANEER AND SAW MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"400,000.00","360,000.00",04-08-77,Arunachal Pradesh,RoC-Shillong,Manufacturing (Wood Products),NAKFANKANUBARI TIRAP ARUNACHAL PRADESH Arunachal Pradesh INDIA,Indian Non-Government Company
U65929AR1978SGC001748,ARUNACHAL PRADESH INDUSTRIAL DEVELOPMENT AND FINANCIAL CORPORATION LTD,ACTIVE,Private,Company Limited by Shares,"60,000,000.00","21,450,200.00",09-08-78,Arunachal Pradesh,RoC-Shillong,Finance,C SECTOR ITANAGAR Arunachal Pradesh INDIA 791111,State Government Company
U67120AR1980PLC001850,NANCHIK INVESTMENTS LIMITED,STRIKE OFF,Public,Company Limited by Shares,"2,000,000.00","80,000.00",25-11-80,Arunachal Pradesh,RoC-Shillong,Finance,NAMCHIK TIRAP Arunachal Pradesh INDIA,Indian Non-Government Company
U15321AR1980PTC001852,TIRUPATI OIL AND STARCH MILLS PVT.LTD.,STRIKE OFF,Private,Company Limited by Shares,"1,500,000.00",NA,25-11-80,Arunachal Pradesh,RoC-Shillong,Manufacturing (Food stuffs),P.O. BOLUNG ROING Arunachal Pradesh INDIA,Indian Non-Government Company
U20101AR1980PTC001854,ARUNACHAL WOOD BASED AND CHEMICALS INDUSTRIES PVT LTD,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","2,135,000.00",26-11-80,Arunachal Pradesh,RoC-Shillong,Manufacturing (Wood Products),JAIRAMPUR JAIRAMPUR Arunachal Pradesh INDIA,Indian Non-Government Company
