CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U15419AS2004PTC009335,JAIBHARAT FOODS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"3,800,000.00","3,800,000.00",20-10-04,Assam,RoC-Shillong,Manufacturing (Food stuffs),"FR-2, Parmeshwari Building, 4th Floor, Chatribari, Guwahati Assam INDIA 781001",Indian Non-Government Company
U01132AS1876PLC000003,CACHAR NATIVE JOINT STOCK CO LTD,ACTIVE,Public,Company Limited by Shares,"700,000.00","530,340.00",###############################################################################################################################################################################################################################################################,Assam,RoC-Shillong,Agriculture and Allied Activities,CLUB ROAD SILCHAR Assam INDIA 788001,Indian Non-Government Company
U51909AS1896PLC000038,ASSAM VALLEY TRADING CO LTD,STRIKE OFF,Public,Company Limited by Shares,"100,000.00","100,000.00",###############################################################################################################################################################################################################################################################,Assam,RoC-Shillong,Trading,"MAIN ROAD P.O. TEZPUR, DIST:- SONITPUR TEZPUR Assam INDIA 784001",Indian Non-Government Company
U01132AS1890PLC000043,JHIRIGHAT NATIVE TEA CO LTD,ACTIVE,Public,Company Limited by Shares,"5,000,000.00","1,200,000.00",###############################################################################################################################################################################################################################################################,Assam,RoC-Shillong,Agriculture and Allied Activities,"G.S.ROAD, DISPUR, DIST. KAMRUP, GUWAHATI Assam INDIA 781005",Indian Non-Government Company
U65929AS1893PLC000050,BHARAT LOAN COMPANY LIMITED,ACTIVE,Public,Company Limited by Shares,"600,000.00","509,600.00",###############################################################################################################################################################################################################################################################,Assam,RoC-Shillong,Finance,"CLUB ROAD, P O SILCHAR SILCHAR Assam INDIA 788001",Indian Non-Government Company
U55101AS1897PLC000060,CACHAR CLUB CO LTD,ACTIVE,Public,Company Limited by Shares,"30,000,000.00","9,377,400.00",###############################################################################################################################################################################################################################################################,Assam,RoC-Shillong,Trading,"CLUB ROAD, SILCHAR CACHAR Assam INDIA 788001",Indian Non-Government Company
U21011AS1919PTC000096,BHARAT SAMPAD PRIVATE LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","17,540.00",30-05-19,Assam,RoC-Shillong,"Manufacturing (Paper & Paper products, Publishing, PRIVnting and reproduction of recorded media)",NATUN PATTY SILCHAR Assam INDIA,Indian Non-Government Company
U91990AS1909NPL000132,TEZPUR STATION CLUB PRIVATE LTD,ACTIVE,Public,Company Limited by Guarantee,NA,"21,811.00",20-12-09,Assam,RoC-Shillong,"Community, personal & Social Services",TEZPUR DT.SONITPUR ASSAM Assam INDIA 784001,Company licensed under Section25
U74140AS1914PLC000191,B.C. GUPTA & SONS LTD,ACTIVE,Public,Company Limited by Shares,"550,000.00","500,000.00",20-03-14,Assam,RoC-Shillong,Business Services,"MALUGRAM, SILCHAR, Assam INDIA 788002",Indian Non-Government Company
U01132AS1915PTC000198,TAMULBARI TEA CO PVT LTD,ACTIVE,Private,Company Limited by Shares,"3,500,000.00","3,425,000.00",02-01-15,Assam,RoC-Shillong,Agriculture and Allied Activities,K.C. GOGOI ROAD KHALIHAMARI DIBRUGARH Assam INDIA 786001,Indian Non-Government Company
