CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U74999CH1982PLC032589,ICL TOWERS LIMITED,ACTIVE,Public,Company Limited by Shares,"30,000,000.00","15,000,000.00",12-01-82,Chandigarh,RoC-Chandigarh,Business Services,H. NO. 36 SECTOR-5 CHANDIGARH Chandigarh INDIA 160009,Indian Non-Government Company
U29299CH1982PTC031679,ICL MACHINERY PRIVATE LTD,ACTIVE,Private,Company Limited by Shares,"6,000,000.00","500,000.00",22-01-82,Chandigarh,RoC-Chandigarh,Manufacturing (Machinery & Equipments),H.NO. 36 SECTOR 5 CHANDIGARH Chandigarh INDIA 160009,Indian Non-Government Company
U26942CH1984PTC031665,H. K. AGRO TECH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","1,000,000.00",17-08-84,Chandigarh,RoC-Chandigarh,"Manufacturing (Metals & Chemicals, and products thereof)",# 535 SECTOR 8-B CHANDIGARH Chandigarh INDIA 160018,Indian Non-Government Company
U32109CH1987PLC031464,HARYANA TELECOM LIMITED,ACTIVE,Public,Company Limited by Shares,"200,000,000.00","136,459,000.00",03-04-87,Chandigarh,RoC-Chandigarh,Manufacturing (Machinery & Equipments),"SCO NO. 175-176 SECTOR 8C, MADHYA MARG CHANDIGARH Chandigarh INDIA 160009",Indian Non-Government Company
U22211CH1976PTC033310,NAV VIKASSHEEL PRAKASHAN PVT LTD,ACTIVE,Private,Company Limited by Shares,"1,200,000.00","400,000.00",16-11-76,Chandigarh,RoC-Chandigarh,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","PLOT NO. 150, PRESS SITE, INDISTRIEAL AREA, PHASE- 1 CHANDIGARH Chandigarh INDIA 160002",Indian Non-Government Company
U34300CH1981PTC033901,AUTO BRAKES PVT LTD,ACTIVE,Private,Company Limited by Shares,"4,000,000.00","3,493,500.00",24-10-81,Chandigarh,RoC-Chandigarh,Manufacturing (Machinery & Equipments),House No. 329 Sector 21-A Chandigarh Chandigarh INDIA 160021,Indian Non-Government Company
L00000CH1983PLC031318,SAB INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"200,000,000.00","151,883,720.00",16-02-83,Chandigarh,RoC-Chandigarh,NA,"S.C.O. 49-50, SECTOR - 26, MADHYA MARG CHANDIGRH Chandigarh INDIA 160019",Indian Non-Government Company
U30007CH1989PTC031720,J R ELECTRONICS AND PACKAGINGS PVT LTD,ACTIVE,Private,Company Limited by Shares,"16,000,000.00","15,370,370.00",09-01-89,Chandigarh,RoC-Chandigarh,Manufacturing (Machinery & Equipments),"SCO 36, IST FLOOR SECTOR 26, MADHYA MARG CHANDIGARH Chandigarh INDIA 160019",Indian Non-Government Company
U15134CH1993PLC013679,HIMALAYAN VEGEFRUIT LIMITED,ACTIVE,Public,Company Limited by Shares,"50,000,000.00","24,911,500.00",06-09-93,Chandigarh,RoC-Chandigarh,Manufacturing (Food stuffs),"# 754, SECTOR 8-C CHANDIGARH Chandigarh INDIA 160008",Indian Non-Government Company
U50101CH2003PTC031445,SNOWVIEW AUTOMOBILES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"7,500,000.00","6,794,750.00",23-06-03,Chandigarh,RoC-Chandigarh,Trading,"Plot No.32 Industrial Area Phase 1, Chandigarh Chandigarh INDIA 160001",Indian Non-Government Company
L65920CH1993PLC033112,NEELKANTH TECHNOLOGIES LIMITED,ACTIVE,Public,Company Limited by Shares,"40,000,000.00","36,175,000.00",20-07-93,Chandigarh,RoC-Chandigarh,Finance,"PLOT NO. 194-195, 3RD FLOOR, INDUSTRIAL AREA, PHASE II, RAM DARBAR, CHANDIGARH Chandigarh INDIA 160002",Indian Non-Government Company
