CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U27100CT2003PTC021900,KRISHNA IRON STEEL AND POWER PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"19,000,000.00","18,501,250.00",10-09-03,Chhattisgarh,RoC-Chhattisgarh,"Manufacturing (Metals & Chemicals, and products thereof)","Urla Industrial Area, Plot No 821/A, Sarora Chhattisgarh INDIA 493221",Indian Non-Government Company
U00153CT1937PTC000112,RAIPUR FLOUR MILLS PVT. LTD,DORMANT,Private,Company Limited by Shares,"2,000,000.00","2,000,000.00",23-01-37,Chhattisgarh,RoC-Chhattisgarh,NA,"FAFADIH CHOWK, RAIPUR Chhattisgarh INDIA 492001",Indian Non-Government Company
U99999CT1945PTC000282,THE RAIPUR TRANSPORT COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","418,500.00",09-10-45,Chhattisgarh,RoC-Chhattisgarh,NA,GREAT EASTERN ROAD N.H. 6 RAIPUR Chhattisgarh INDIA 492001,Indian Non-Government Company
U15312CT1948PTC000479,DOONGAJI RICE MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","300,000.00",08-10-48,Chhattisgarh,RoC-Chhattisgarh,Manufacturing (Food stuffs),"PARADISE LODGE, RAIPUR Chhattisgarh INDIA",Indian Non-Government Company
L01119CT1944PLC000635,RAIGARH TRADING CO.LIMITED,ACTIVE,Public,Company Limited by Shares,"2,500,000.00","1,250,000.00",28-04-44,Chhattisgarh,RoC-Chhattisgarh,Agriculture and Allied Activities,HANUMAN SEVA KUNJSTATION ROAD RAIGARH Chhattisgarh INDIA 496001,Indian Non-Government Company
U02710CT1942PLC000724,SHRI GOPAL & COMPANY LIMITED,STRIKE OFF,Public,Company Limited by Shares,"500,000.00","200,000.00",09-01-42,Chhattisgarh,RoC-Chhattisgarh,NA,RAIGARH RAIGARH RAIGARH Chhattisgarh INDIA 496001,Indian Non-Government Company
U60221CT1955PTC000802,COMBINED TRANSPORT SERVICE PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","114,000.00",03-03-55,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",Motor Stand Bilaspur BILASPUR Chhattisgarh INDIA,Indian Non-Government Company
U63030CT1955PTC000803,ANAND TRANSPORT COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",30-03-55,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",Moudha Para Raipur Chhattisgarh INDIA 492001,Indian Non-Government Company
U60231CT1955PTC000806,MADHYA PRADESH TRANSPORT COMPANY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","252,000.00",11-05-55,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",Ganesh Ram Nagar RAIPUR Chhattisgarh INDIA,Indian Non-Government Company
U60210CT1955PTC000814,SURGUJA RAIGARH ROAD WAY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","277,500.00",09-11-55,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",Kharsia road PO Ambikapur SURGUJA Chhattisgarh INDIA,Indian Non-Government Company
U60210CT1956PTC000819,MAHAMAYA MOTOR TRANSPORT CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","12,500.00",05-03-56,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",Jashpur Nagar RAIGARH Chhattisgarh INDIA,Indian Non-Government Company
U60221CT1956PTC000832,SUDERSHAN TRANSPORT CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"300,000.00","105,000.00",27-12-56,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",Bilspur Road BILASPUR Chhattisgarh INDIA,Indian Non-Government Company
U40100CT1934PLC000836,CENTRAL INDIA ELECTRIC SUPPLY CO LTD,ACTIVE,Public,Company Limited by Shares,"750,000.00","508,900.00",12-11-34,Chhattisgarh,RoC-Chhattisgarh,"Electricity, Gas & Water companies",DAYAL BANDH BILASPUR BILASPUR Chhattisgarh INDIA 495001,Indian Non-Government Company
U15143CT1958PTC000847,TAPTI OIL MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",200,26-03-58,Chhattisgarh,RoC-Chhattisgarh,Manufacturing (Food stuffs),PO Multai in Distt. Betul BETUL Chhattisgarh INDIA,Indian Non-Government Company
U60221CT1958PTC000850,RAJNANDGAON ROADWAYS PVT LTD,DORMANT,Private,Company Limited by Shares,"500,000.00","258,000.00",16-06-58,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",Bus Stand Rajnandgaon Chhattisgarh Chhattisgarh INDIA 491441,Indian Non-Government Company
U06300CT1958PTC000853,DURG TRANSPORT CO PVT LTD,ACTIVE,Private,Company Limited by Shares,"500,000.00","263,500.00",11-09-58,Chhattisgarh,RoC-Chhattisgarh,NA,GE Road Durg DURG Chhattisgarh INDIA 491001,Indian Non-Government Company
U06300CT1958PTC000854,DURG ROADWAYS PVT LTD,ACTIVE,Private,Company Limited by Shares,"500,000.00","413,000.00",11-09-58,Chhattisgarh,RoC-Chhattisgarh,NA,GE Road Durg DURG Chhattisgarh INDIA 491001,Indian Non-Government Company
U27101CT1958PTC000857,NEW MADHYA PRADESH INDUSTRIES PVT LTD,DORMANT,Private,Company Limited by Shares,"200,000.00","45,000.00",13-10-58,Chhattisgarh,RoC-Chhattisgarh,"Manufacturing (Metals & Chemicals, and products thereof)",Rawa BhataNear Radio Station Post Office Birgaon RAIPUR Chhattisgarh INDIA,Indian Non-Government Company
U60221CT1959PTC000880,LUCKY BHARAT GARAGE PVT LTD,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","616,500.00",16-12-59,Chhattisgarh,RoC-Chhattisgarh,"Transport, storage and Communications",M.G. Road Raipur RAIPUR Chhattisgarh INDIA,Indian Non-Government Company
U27201CT1959PTC000881,NAVRATAN INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","8,400.00",22-12-59,Chhattisgarh,RoC-Chhattisgarh,"Manufacturing (Metals & Chemicals, and products thereof)",Sadar Bazar Dhamtari RAIPUR Chhattisgarh INDIA,Indian Non-Government Company
