CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
L27100DN1960PLC000371,PERMANENT MAGNETS LIMITED,ACTIVE,Public,Company Limited by Shares,"160,000,000.00","85,984,530.00",26-11-60,Dadar Nagar Haveli,RoC-Ahmedabad,"Manufacturing (Metals & Chemicals, and products thereof)","HARSH AVENUE, 302, 3RD FLOOR OPP SILVASSA POLICE STATION, SILVASSA VAPI MAIN RD SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U27200DN1989PLC000346,GUJARAT COPPER ALLOYS LIMITED,ACTIVE,Public,Company Limited by Shares,"5,000,000.00","3,606,940.00",12-09-89,Dadar Nagar Haveli,RoC-Ahmedabad,"Manufacturing (Metals & Chemicals, and products thereof)","SURVEY NO. 287/3, VILLAGE KHERDI, KHANVEL, SILVASSA 396230, U. T. OF D. & N. H. SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
L36939DN1989PLC000377,NISSAN COPPER LIMITED,ACTIVE,Public,Company Limited by Shares,"700,000,000.00","628,559,050.00",01-12-89,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Others),"168/2/1, RUDANA KHANVEL SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U65910DN1994PLC000362,AMRAPALI CAPITAL AND FINANCE SERVICES LIMITED,ACTIVE,Public,Company Limited by Shares,"100,000,000.00","97,786,000.00",20-05-94,Dadar Nagar Haveli,RoC-Ahmedabad,Finance,"SHOP NO. 3, GROUND FLOOR, ASHOKA COMPLEX, B/H. WOODLAND HOTEL, NAROLI CREOSS ROAD SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U65910DN1995PTC000470,KIFS SECURITIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"250,000,000.00","127,272,800.00",27-01-95,Dadar Nagar Haveli,RoC-Ahmedabad,Finance,"4, GOKUL DARSHAN, BUILDING -A, TOKARKHADA, NEAR CANARA BANK, SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U27100DN1998PTC000257,TEAM FERRO-ALLOYS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000,000.00","24,054,000.00",28-01-98,Dadar Nagar Haveli,RoC-Ahmedabad,"Manufacturing (Metals & Chemicals, and products thereof)","SURVEY NO. 357/2/2/1 & 357/2/3/2, BEHIND DADRA GARDEN DADRA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U51100DN2005PTC000356,PARKO COMMODITIES (INDIA) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"17,500,000.00","17,500,000.00",02-06-05,Dadar Nagar Haveli,RoC-Ahmedabad,Trading,"SHOP NO.4,ASHOKA BUILDING, FIRST FLOOR, B/H WOODLAND HOTEL, SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U40100DN2005PTC000431,DARO ENERGY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"17,500,000.00","16,500,000.00",27-06-05,Dadar Nagar Haveli,RoC-Ahmedabad,"Electricity, Gas & Water companies","PLOT NO. 11 & 12, SURVEY NO. 52/1/1/1 & 52/1/1/3, BEHIND DISTRICT COURT, SILVASSA MASAT ROAD SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
L31300DN1961PLC000232,IMP POWERS LIMITED,ACTIVE,Public,Company Limited by Shares,"340,000,000.00","93,615,610.00",24-03-61,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Machinery & Equipments),"SURVEY NO. 263/3/2/2, SAYLI VILLAGE UMAR KUIN ROAD SILVASSA (U. T. ) DADRA & NAGAR HAVELI SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U29191DN1972PTC000456,WESTERN REFRIGERATION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"60,100,000.00","11,983,560.00",09-08-72,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Machinery & Equipments),"Survey No. 174/1, Kanadi Road, Naroli Village, Silvasa, Union Territory of Dadra & Nagar Haveli Silvasa Dadar Nagar Haveli INDIA 396235",Indian Non-Government Company
U17120DN1982PTC000384,SUMITA TEX SPIN PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000,000.00","83,648,400.00",06-07-82,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"187/4/1/1/, Khadoli Surangi Road, Surangi village, Silvassa, Silvassa Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
L99999DN1985PLC000197,FAZE-THREE LTD,ACTIVE,Public,Company Limited by Shares,"170,000,000.00","121,887,974.00",09-01-85,Dadar Nagar Haveli,RoC-Ahmedabad,NA,"Survey No. 380/1, Khanvel Silvassa Road, Village Dapada Dapada Dadar Nagar Haveli INDIA 396191",Indian Non-Government Company
L17110DN1986PLC000334,ALOK INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"15,000,000,000.00","13,773,178,950.00",12-03-86,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"17/5/1, 521/1, Village Rakholi/ Saily, Silvassa Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
L51900DN1987PLC000441,BIOPAC INDIA CORPORATION LIMITED,ACTIVE,Public,Company Limited by Shares,"200,000,000.00","172,501,000.00",02-04-87,Dadar Nagar Haveli,RoC-Ahmedabad,Trading,"SURVEY NO 38, SILVASSA KHANVEL ROAD DAPADA SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U18101DN1988PTC000365,BHILOSA INDUSTRIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"800,000,000.00","605,695,000.00",01-06-88,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"Survey No. 14/1/2, Village Rakholi Silvassa Silvassa Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
L17120DN1990PLC000440,SHEKHAWATI POLY-YARN LIMITED,ACTIVE,Public,Company Limited by Shares,"400,000,000.00","220,110,670.00",05-11-90,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"Plot No. 185/1, Naroli Village, Near Kanadi phatak, Naroli Dadar Nagar Haveli INDIA 396235",Indian Non-Government Company
U45200DN1991PTC000410,HARMONY ESTATES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","110,300.00",30-01-91,Dadar Nagar Haveli,RoC-Ahmedabad,Construction,"SURVEY NO. 59/1/4, AMLI PIPARIA INDUSTRIAL ESTATE SILVASSA Dadar Nagar Haveli INDIA 369230",Indian Non-Government Company
L27200DN1991PLC000449,VHCL INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"520,000,000.00","128,703,940.00",19-07-91,Dadar Nagar Haveli,RoC-Ahmedabad,"Manufacturing (Metals & Chemicals, and products thereof)","Survey No. 285, Gala No. II, Main Khanvel Kherdi Road, Village Kherdi, Silvasa Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
L17120DN1993PLC000368,RAJ RAYON INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"500,000,000.00","406,454,000.00",17-08-93,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"SURVEY NO 177/1/3, VILLAGE SURANGI SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U17100DN1993PLC000382,YASHASVI YARNS LIMITED,ACTIVE,Public,Company Limited by Shares,"130,000,000.00","125,812,290.00",04-11-93,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"Survey No. 185/1/1, Plot No.18, Dokmardi, Village Amli, Silvassa Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
L51900DN1993PLC000352,GRABAL ALOK IMPEX LIMITED,AMALGAMATED,Public,Company Limited by Shares,"1,000,000,000.00","224,850,000.00",17-12-93,Dadar Nagar Haveli,RoC-Ahmedabad,Trading,"249/1, Village Vasona, Silvassa Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
L17120DN1994PLC000387,EMMBI INDUSTRIES LIMITED,ACTIVE,Public,Company Limited by Shares,"180,000,000.00","176,902,500.00",29-11-94,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"99/2/1 & 9, Madhuban Industrial Estate,Madhuban Dam Road, Rakholi Village,U.T. of D. & N. H., Silvassa Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U74110DN1995PTC000306,MONEYCARE CONSULTANTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","1,900,000.00",05-01-95,Dadar Nagar Haveli,RoC-Ahmedabad,Business Services,203 PIPARIA INDUSTRAIL AREA PIPARIA SILVASSA Dadar Nagar Haveli INDIA 396230,Indian Non-Government Company
U17110DN1995PTC000458,PATODIA FILAMENTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"60,000,000.00","54,950,020.00",27-01-95,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"PLOT NO. 15, S. NO. 99/2/15 RAKHOLI SILVASA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U67120DN1995PLC000350,MANYOG SECURITIES LIMITED,ACTIVE,Public,Company Limited by Shares,"60,000,000.00","6,227,600.00",27-10-95,Dadar Nagar Haveli,RoC-Ahmedabad,Finance,"A-12, 1st FLOOR, GOKUL VIHAR TOKARKHADA, SILVASSA , U T OF DADRA & NAGAR HAVELI SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U74999DN1996PTC000469,MANIKA MOULDS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000,000.00","200,000,000.00",25-04-96,Dadar Nagar Haveli,RoC-Ahmedabad,Business Services,"Survey No.28/1/2 & 21/1/2, Karajgam, Village Karajgam, Udhwa Road, Silvassa Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
L17120DN1997PLC000196,AUNDE INDIA LIMITED,ACTIVE,Public,Company Limited by Shares,"110,000,000.00","107,232,070.00",03-10-97,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"PLOT NO 146, WAGHDHARA VILLAGE DADRA Dadar Nagar Haveli INDIA 396191",Indian Non-Government Company
L31300DN2000PLC000340,STERLITE TECHNOLOGIES LIMITED,ACTIVE,Public,Company Limited by Shares,"1,500,000,000.00","787,944,954.00",24-03-00,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Machinery & Equipments),"SURVEY NO. 68/1, RAKHOLI VILLAGE MADHUBAN DAM ROAD SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U92110DN2003PTC000210,21ST CENTURY ENTERTAINMENT PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"1,000,000.00","100,000.00",24-09-03,Dadar Nagar Haveli,RoC-Ahmedabad,NA,"H/B - 10, GURUDEV COMPLEX, PHASE II, SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U63000DN2004PTC000293,HARI OM BULK CARRIERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",10-06-04,Dadar Nagar Haveli,RoC-Ahmedabad,"Transport, storage and Communications","Plot No. 7, Sai Petroleum Pump Compound Athal, Silvassa, U.T. of Dadra and Nagar Haveli silvassa Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U51109DN1987PTC000351,ARISTO TRADERS PVT LTD,ACTIVE,Private,Company Limited by Shares,"35,000,000.00","34,626,000.00",26-03-87,Dadar Nagar Haveli,RoC-Ahmedabad,Trading,"4, GOKUL DARSHAN, BUILDING-A, TOKARKHADA, NEAR CANARA BANK, SILVASSA Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U25207DN2004PTC000292,AMKAY PLAST PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","2,215,000.00",17-12-04,Dadar Nagar Haveli,RoC-Ahmedabad,"Manufacturing (Metals & Chemicals, and products thereof)","Survey No.272/1/5, Demni Road, Village Dadra, Dadra Dadar Nagar Haveli INDIA 396230",Indian Non-Government Company
U63090DN1979PTC000008,MADHU TRAVELS AND ROADWAYS PVT.LTD.,DORMANT,Private,Company Limited by Shares,"2,000,000.00","2,000.00",16-06-79,Dadar Nagar Haveli,RoC-Ahmedabad,"Transport, storage and Communications","DESAI BHAVAN,AMLI,SILVASSA-396230,UT. DESAI BHAVAN,AMLI Dadar Nagar Haveli INDIA",Indian Non-Government Company
U24232DN1987PTC000014,SILVASSA WIRE PVT.LTD.,DORMANT,Private,Company Limited by Shares,"100,000.00","50,000.00",01-05-87,Dadar Nagar Haveli,RoC-Ahmedabad,"Manufacturing (Metals & Chemicals, and products thereof)",U.T. Dadar Nagar Haveli INDIA,Indian Non-Government Company
U99999DN1987PTC000016,LAKHBIR SYNTHETICS PVT.LTD.,ACTIVE,Private,Company Limited by Shares,"500,000.00","500,000.00",09-07-87,Dadar Nagar Haveli,RoC-Ahmedabad,NA,"85, GOVERNMENT INDUSTRIALESTATE, MASAT, SILVASSA, U.T. OF DADRA & NAGAR HAVELI. Dadar Nagar Haveli INDIA",Indian Non-Government Company
U17119DN1987PTC000017,SUKHMAN SYNTHETICS PVT.LTD.,DORMANT,Private,Company Limited by Shares,"500,000.00","500,000.00",09-07-87,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"84, GOVERNMENT INDUSTRIALESTATE, MASAT, SILVASSA, U.T. OF DADRA NAGAR HAVELI. Dadar Nagar Haveli INDIA",Indian Non-Government Company
U17119DN1988PTC000019,ANUMAN SYNTHETICS PVT.LTD.,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"500,000.00","500,000.00",07-07-88,Dadar Nagar Haveli,RoC-Ahmedabad,Manufacturing (Textiles),"17, GOVERNMENT HOUSTINGSOCIETY, SILVASSA-396230. Dadar Nagar Haveli INDIA",Indian Non-Government Company
U99999DN1988PTC000020,NAKODA SYN-TEX PVT.LTD.,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","4,643,300.00",21-07-88,Dadar Nagar Haveli,RoC-Ahmedabad,NA,"11, INDUSTRIAL ESTATE, MASAT SILVASSA , U.T. OF DADRA & NAGAR HAVAELI. Dadar Nagar Haveli INDIA",Indian Non-Government Company
