CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U92410DD2015NPL004758,DAMAN & DIU CRICKET LEAGUE,ACTIVE,Private,Company Limited by Shares,100000,100000,3/16/2015,Daman and Diu,RoC-Goa,"Community, personal & Social Services","2 SR.NO.375, HILL INDUSTRIAL ESTATE KACHIGAMDAMAN, I.E. DAMAN DAMAN Daman and Diu INDIA 396215",Indian Non-Government Company
U74999DD2015PTC004759,INDENT ONLINE SUPPLIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,3/23/2015,Daman and Diu,RoC-Goa,Business Services,213 Sabari Kachigam Daman Daman and Diu INDIA 396210,Indian Non-Government Company
U05000DD2015PTC004756,CRUSTACE SEAFOOD PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,12000000,100000,2/20/2015,Daman and Diu,RoC-Goa,Agriculture and Allied Activities,"1ST FLOOR, SHREE SAGAR DEVELOPERS JULAM BAUG,MOTI DAMAN DAMAN Daman and Diu INDIA 396220",Indian Non-Government Company
U45200DD2015PTC004755,ISHVA INFRACON INDIA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,02-05-15,Daman and Diu,RoC-Goa,Construction,"SHOP NO. 7, 1ST FLOOR, DMC COMPLEX, NEAR JUMMA MASJID, DIU Daman and Diu INDIA 362520",Indian Non-Government Company
U67190DD2014PTC004754,MOTIVE BROKING & ADVISORY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,12/30/2014,Daman and Diu,RoC-Goa,Finance,"OFFICE NO. 04, 7/5-11A, SHIV SAGAR BUILDING SOMNATH JUNCTION, DUBHEL, NANI DAMAN DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U74120DD2014OPC004751,ALESSIA REMEDIES PRIVATE LIMITED (OPC),ACTIVE,One Person Company,Company Limited by Shares,500000,500000,12-04-14,Daman and Diu,RoC-Goa,Business Services,"H.NO.15-340/TF-1,""JAY APPT"" KHARIWAD NANI DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U92413DD2014PTC004750,REDO ENTERTAINMENT PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,11/26/2014,Daman and Diu,RoC-Goa,"Community, personal & Social Services","UT NEWS, DABHEL CHECK POST, SOMNATH, DAMAN, DAMAN & DIU DAMAN Daman and Diu INDIA 396215",Indian Non-Government Company
U51909DD2014PTC004745,INDIAN OCEAN ENTERPRISE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,02-12-14,Daman and Diu,RoC-Goa,Trading,"H. NO. 41/1, PATEL FALIA MARWAD NANI DAMAN, DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U51909DD2014PTC004757,ARYA TRADEX PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000000,100000000,1/13/2014,Daman and Diu,RoC-Goa,Trading,"New City Survey Plot No. PTS-93/240/A/1 Dr. Kelkar Road, DIU Daman and Diu INDIA 364001",Indian Non-Government Company
U67100DD2014PLC004742,SPAN WEALTH CREATION LIMITED,ACTIVE,Public,Company Limited by Shares,2500000,2500000,1/15/2014,Daman and Diu,RoC-Goa,Finance,"526/37 TEJ REGENCY, OPP. BHARAT INDUSTRIAL ESTATE, COSTAL HIGHWAY, BHIMPORE, DAMAN Daman and Diu INDIA 382481",Indian Non-Government Company
U24246DD2014PTC004744,COSMINOVA COSMETICS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,1/28/2014,Daman and Diu,RoC-Goa,"Manufacturing (Metals & Chemicals, and products thereof)",RINGANWADAKACHIGAM ROAD DAMAN DAMAN Daman and Diu INDIA 396210,Indian Non-Government Company
U55209DD2013PTC004730,FOODIES CAFE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,09-03-13,Daman and Diu,RoC-Goa,Trading,"H.No. 8-152/G-3, DAMANIA HEIGHTS, JETTY ROAD, NANI DAMAN DAMAN Daman and Diu INDIA 396210",Indian Non-Government Company
U74900DD2013PLC004729,VFM LOGISUPPORT SERVICES LIMITED,ACTIVE,Public,Company Limited by Shares,30000000,500000,8/27/2013,Daman and Diu,RoC-Goa,Business Services,"213 , Sabari, Kachigam ,Damam (UT) Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U40109DD2013PTC004728,WIND WORLD WIND FARMS (AMBIKA) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,7/30/2013,Daman and Diu,RoC-Goa,"Electricity, Gas & Water companies","Plot No. 33, Unit-II, Silver Industrial Estate, Bhimpore, Nani Daman, Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U40109DD2013PTC004726,WIND WORLD WIND FARMS (SANGOLE) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,7/30/2013,Daman and Diu,RoC-Goa,"Electricity, Gas & Water companies","Plot No. 33, Unit-II, Silver Industrial Estate, Bhimpore, Nani Daman, Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U40109DD2013PTC004725,WIND WORLD WIND FARMS (JUNOM) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,7/30/2013,Daman and Diu,RoC-Goa,"Electricity, Gas & Water companies","Plot No. 33,Unit-II, Silver Industrial Estate, Bhimpore, Nani Daman, Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U40109DD2013PTC004727,WIND WORLD WIND FARMS (TAPTI) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,7/30/2013,Daman and Diu,RoC-Goa,"Electricity, Gas & Water companies","Plot No. 33, Unit-II, Silver Industrial Estate, Bhimpore, Nani Daman, Daman Daman and Diu INDIA 396210",Indian Non-Government Company
U40109DD2013PTC004724,WIND WORLD WIND FARMS (JEUR) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,100000,100000,7/30/2013,Daman and Diu,RoC-Goa,"Electricity, Gas & Water companies","Plot No. 33, Unit - II Silver Industrial Estate, Bhimpore, Nani Daman, Daman Daman and Diu INDIA 396210",Indian Non-Government Company
