CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U72100GA2015PTC007620,NAYOLI TECH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",26-03-15,Goa,RoC-Goa,Business Services,"H. NO.192, MADALEM CANSAULIM GOA CANSAULIM Goa INDIA 403712",Indian Non-Government Company
U92410GA2015NPL007613,MAPUSA CRICKET LEAGUE,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",23-03-15,Goa,RoC-Goa,"Community, personal & Social Services","House No. 102, Shivkrupa, Opp. Siddeshwar Temple, Bastora Xell In., Bardez Goa INDIA 403507",Indian Non-Government Company
U74999GA2015PTC007622,MOBIEFIT TECHNOLOGIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","430,000.00",26-03-15,Goa,RoC-Goa,Business Services,"PLOT NO. E-4 MONTE CARLO, LA CITADEL COLONY, DONA PAULA PANAJI Goa INDIA 403004",Indian Non-Government Company
U74999GA2015PTC007615,FRESHPIC ORGANICS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",23-03-15,Goa,RoC-Goa,Business Services,"FLAT NO A/4, 2ND FLOOR, RAGHUNATH BUILDING, ABOVE CORPORATION BANK, VASCO DA GAMA Goa INDIA 403802",Indian Non-Government Company
U74999GA2015PTC007614,INFOMEDIA PRIMESLOT NETWORK PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",23-03-15,Goa,RoC-Goa,Business Services,"3, 4TH FLOOR, SIDDHARTH BANDODKAR BHAVAN, NEAR MAHALAXMI TEMPLE, ATMARAM BORKAR ROAD PANAJI Goa INDIA 403001",Indian Non-Government Company
U72200GA2015PTC007625,HANDY TRAINING TECHNOLOGIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","425,000.00",27-03-15,Goa,RoC-Goa,Business Services,"PLOT NO. E-4 MONTE CARLO, LA CITADEL COLONY, DONA PAULA PANAJI Goa INDIA 403004",Indian Non-Government Company
U74900GA2015PTC007624,SANAO INTERNATIONAL MARKETING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",27-03-15,Goa,RoC-Goa,Business Services,"A1, SAPNA REGENCY, DR. SHIRGAONKAR ROAD PANAJI Goa INDIA 403001",Indian Non-Government Company
U72502GA2015PTC007608,ANAN TECHNOLOGY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",14-03-15,Goa,RoC-Goa,Business Services,"L 41 & 42,4TH FLOOR,ALFRAN PLAZA PANAJI GOA GOA Goa INDIA 403001",Indian Non-Government Company
U55101GA2015PTC007616,SIMROSE RESORTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"3,600,000.00","3,568,000.00",26-03-15,Goa,RoC-Goa,Trading,"275/2, COLOMB, CANACONA CANACONA Goa INDIA 403702",Indian Non-Government Company
U45200GA2015PTC007609,SATYAJEET INFRASTRUCTURE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",16-03-15,Goa,RoC-Goa,Construction,"H.NO.74, BHATIWADO, MORJIM PERNEM GOA PERNEM Goa INDIA 403512",Indian Non-Government Company
U52100GA2015PTC007621,VGG TRADING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",26-03-15,Goa,RoC-Goa,Trading,Sh-11 1st Floor Landscape Shire Caranzalem Goa INDIA 403002,Indian Non-Government Company
U45200GA2015PTC007611,GEOSPIRE INFRA MARINE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",23-03-15,Goa,RoC-Goa,Construction,"FLAT NO 602, SD CHARISMA, NR GOMATESHWAR TEMPLE, SASMOLLEM, BAINA VASCO DA GAMA Goa INDIA 403802",Indian Non-Government Company
U55101GA2015PTC007602,SAKANA HOSPITALITY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",24-02-15,Goa,RoC-Goa,Trading,"H. NO. 187 ZOR WADDO, ANJUNA, BARDEZ ANJUNA Goa INDIA 403509",Indian Non-Government Company
U72200GA2015PTC007618,MEDIART SAI INFOTECH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",26-03-15,Goa,RoC-Goa,Business Services,"B.NO. 1821/1, SHOP NO.S-1, GOKUL APPT, PNDALIK NAGAR, PENHA-DE-FRANCA PORVORIM Goa INDIA 403501",Indian Non-Government Company
U72200GA2015PTC007599,TECHFACTORY DCODE SYSTEMS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",18-02-15,Goa,RoC-Goa,Business Services,"C-7/2, GROUND FLOOR PALMARINHA PHASE II, PORBA VADDO, CALANGUTE Goa INDIA 403516",Indian Non-Government Company
U15146GA2015PTC007610,KOKKAM FOODS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",16-03-15,Goa,RoC-Goa,Manufacturing (Food stuffs),"204, EMERALD TOWERS, NR SBI ZONAL OFFICE M.G. ROAD, ST. INEZ PANAJI Goa INDIA 403001",Indian Non-Government Company
U01407GA2015PTC007623,KRISHI SUJALAM FARMERS PRODUCER COMPANY LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",27-03-15,Goa,RoC-Goa,Agriculture and Allied Activities,"H. NO,113/A, NUVEM DUGEM, NUVEM, SALCETE NUVEM Goa INDIA 403604",Indian Non-Government Company
U63000GA2015PTC007619,AMPHIBIAN TOURS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",26-03-15,Goa,RoC-Goa,"Transport, storage and Communications","406, CITICENTRE PATTO PANAJI Goa INDIA 403001",Indian Non-Government Company
U74999GA2015PTC007600,HUCKSTER RETAIL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","450,000.00",18-02-15,Goa,RoC-Goa,Business Services,"501, Atria, Court junction Altinh, Mapusa Bardez, Mapusa Goa INDIA 403507",Indian Non-Government Company
U74999GA2015PTC007603,PPM MUSEUM CONSULTANTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",24-02-15,Goa,RoC-Goa,Business Services,"2ND FLOOR, LAWANDE MANOR, V.S. DEMPO MARG., NEAR ST. INEZ CHURCH PANAJI Goa INDIA 403001",Indian Non-Government Company
U74900GA2015PTC007591,JATVED COMMUNICATIONS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",05-02-15,Goa,RoC-Goa,Business Services,"SHREE KSHETRA TAPOBHOOMI GURUPITH OPP. KUNDAIM INDUSTRIAL ESTATE, VILLAGE KUNDAIM, NORTH DISTRICT GOA Goa INDIA 403115",Indian Non-Government Company
