CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U50401HP2015PTC000906,KESHAV BIKE WORLD PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","500,000.00",30-03-15,Himachal Pradesh,RoC-Himachal Pradesh,Trading,NH-21 V.P.O. GUTKAR MANDI Himachal Pradesh INDIA 175021,Indian Non-Government Company
U45206HP2015OPC000905,SHARMA BROTHER'S ELECTRICAL POWER & CONSTRUCTION SERVICES PRIVATE LIMITED (OPC),ACTIVE,One Person Company,Company Limited by Shares,"100,000.00","100,000.00",24-03-15,Himachal Pradesh,RoC-Himachal Pradesh,Construction,"KHATA/KHATAUNI NO.72MIN/119MIN KHASRA NO.1163/687/241, TIKKER ROAD, RAJGARH HIMACHAL PRADESH Himachal Pradesh INDIA 173101",Indian Non-Government Company
U15411HP2015PTC000898,VIPUL FOOD PRODUCTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",12-03-15,Himachal Pradesh,RoC-Himachal Pradesh,Manufacturing (Food stuffs),"Bain Attarian, Village Kandrori Tehsil Indora, Dist Kangra (HP) Indora Himachal Pradesh INDIA 176401",Indian Non-Government Company
U74140HP2015PTC000883,ALTIS MARKETING SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",03-03-15,Himachal Pradesh,RoC-Himachal Pradesh,Business Services,MOH GURSAR UNA Himachal Pradesh INDIA 174303,Indian Non-Government Company
U02005HP2015NPL000885,ECO-INVEST BENEVOLANT FOUNDATION,ACTIVE,Public,Company Limited by Guarantee,NA,NA,04-03-15,Himachal Pradesh,RoC-Himachal Pradesh,Agriculture and Allied Activities,"SAGAR NIWAS, VILL & P.O. - POABO TEHSIL & DIST - SHIMLA SHIMLA Himachal Pradesh INDIA 171006",Indian Non-Government Company
U40101HP2015PTC000896,SNOWFOAM ENERGY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",11-03-15,Himachal Pradesh,RoC-Himachal Pradesh,"Electricity, Gas & Water companies",VILLAGE BULANG (29/63) PO FOZAL TEHSIL KULLU KULLU Himachal Pradesh INDIA 175129,Indian Non-Government Company
U51109HP2015PTC000900,RITWIN ENTERPRISES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",16-03-15,Himachal Pradesh,RoC-Himachal Pradesh,Trading,VILLAGE & P.O. LALIT NAGAR TEHSIL SUNDERNAGAR SUNDERNAGAR Himachal Pradesh INDIA 175018,Indian Non-Government Company
U33114HP2015PTC000894,SRV LIFESCIENCES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",11-03-15,Himachal Pradesh,RoC-Himachal Pradesh,Manufacturing (Machinery & Equipments),VPO - Saloi Tehsil - Amb Saloi Himachal Pradesh INDIA 177203,Indian Non-Government Company
U55101HP2015PTC000899,ECOAPPLE HOTELS & RESORTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",13-03-15,Himachal Pradesh,RoC-Himachal Pradesh,Trading,"VPO Haripur, Tehsil- Kullu, Kullu Himachal Pradesh INDIA 175136",Indian Non-Government Company
U72900HP2015OPC000892,CLUSTER ONE MEDIA TECHNOLOGIES PRIVATE LIMITED (OPC),ACTIVE,One Person Company,Company Limited by Shares,"100,000.00","100,000.00",10-03-15,Himachal Pradesh,RoC-Himachal Pradesh,Business Services,Saraswati Bhawan Nr Police Colony Kasumpti Shimla Himachal Pradesh INDIA 171009,Indian Non-Government Company
