CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U50200JK2015PTC004357,ASTA AUTOMOTIVES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","500,000.00",26-03-15,Jammu and Kashmir,RoC-Jammu,Trading,NH 1A LETHPORA AWANTIPORA SRINAGAR Jammu and Kashmir INDIA 192122,Indian Non-Government Company
U74999JK2015PTC004358,R P TOURISM INFRASTRUCTURE AND CONTRACTORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","500,000.00",27-03-15,Jammu and Kashmir,RoC-Jammu,Business Services,BHAGAT CHOWK SRINAGAR SRINAGAR Jammu and Kashmir INDIA 190001,Indian Non-Government Company
U85110JK2015PTC004359,SIAK HEALTHCARE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",30-03-15,Jammu and Kashmir,RoC-Jammu,"Community, personal & Social Services",BARAN PATHAR IQBAL PARK SRINAGAR SRINAGAR Jammu and Kashmir INDIA 190009,Indian Non-Government Company
U72300JK2015PTC004355,EBULLIENT ALTRUISTS OASIS IT SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",26-03-15,Jammu and Kashmir,RoC-Jammu,Business Services,FAIZ ABAD COLONY NAIK BAGH SRINAGAR SRINAGAR Jammu and Kashmir INDIA 190009,Indian Non-Government Company
U50103JK2015PTC004351,XTREAM MOTORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",18-03-15,Jammu and Kashmir,RoC-Jammu,Trading,"Plot No. 2, Yard No. 6, Transport Nagar, Narwal, Jammu Jammu and Kashmir INDIA 180006",Indian Non-Government Company
U45400JK2015PTC004350,POLYBIZ INFRA SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",17-03-15,Jammu and Kashmir,RoC-Jammu,Construction,H NO 77 PEERBAGH UMARABAD SECTOR B SRINAGAR SRINAGAR Jammu and Kashmir INDIA 190014,Indian Non-Government Company
U72300JK2015PTC004356,TECHBOXX TECHNOLOGIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",26-03-15,Jammu and Kashmir,RoC-Jammu,Business Services,3RD FLOOR NATH COMPLEX NEW TILE MARKET SHAHEED GUNJ SRINAGAR Jammu and Kashmir INDIA 190001,Indian Non-Government Company
U74900JK2015PTC004353,ELYSIAN ENTERPRISES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",18-03-15,Jammu and Kashmir,RoC-Jammu,Business Services,"H No 411 SECTOR 2, VINAYAK NAGAR, MUTHI JAMMU Jammu and Kashmir INDIA 180215",Indian Non-Government Company
U45400JK2015PTC004347,ERA INFOTECH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",17-03-15,Jammu and Kashmir,RoC-Jammu,Construction,WARD NO.4 KATHUA Jammu and Kashmir INDIA 184101,Indian Non-Government Company
U74900JK2015PTC004342,AASR MARKETING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",13-03-15,Jammu and Kashmir,RoC-Jammu,Business Services,125 / 6 Extn. Trikuta Nagar Jammu Jammu and Kashmir INDIA 180012,Indian Non-Government Company
U74900JK2015PTC004341,KKS RETAIL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",13-03-15,Jammu and Kashmir,RoC-Jammu,Business Services,125 / 6 Extn. Trikuta Nagar Jammu Jammu and Kashmir INDIA 180012,Indian Non-Government Company
U74120JK2015PTC004346,OXYGN MEDICHEM PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",17-03-15,Jammu and Kashmir,RoC-Jammu,Business Services,11 NEW REHARI COLONY JAMMU Jammu and Kashmir INDIA 180001,Indian Non-Government Company
U72300JK2015PTC004345,GZS INFOTECH PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",16-03-15,Jammu and Kashmir,RoC-Jammu,Business Services,STADIUM COLONY BUDSHAH NAGAR NATIPORA SRINAGAR Jammu and Kashmir INDIA 190015,Indian Non-Government Company
U45400JK2015PTC004338,AEON INFRATEL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",12-03-15,Jammu and Kashmir,RoC-Jammu,Construction,PARIMPORA UMERABAD SRINAGAR SRINAGAR Jammu and Kashmir INDIA 190017,Indian Non-Government Company
U50404JK2015PTC004337,PEAKS AUTO JAMMU PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","10,000,000.00",12-03-15,Jammu and Kashmir,RoC-Jammu,Trading,4 A/C Gandhi Nagar Green Belt Park Road Jammu Jammu and Kashmir INDIA 180004,Indian Non-Government Company
