CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U45201JH2015PTC002784,KHAWAJA GARIB NAWAZ BUILDCON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",31-03-15,Jharkhand,RoC-Jharkhand,Construction,"H.NO. 1001A, SALAIDIH, ARGALI THANA NO. 285 GIRIDIH Jharkhand INDIA 825412",Indian Non-Government Company
U74999JH2015PTC002788,AARADHYA RESORTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",31-03-15,Jharkhand,RoC-Jharkhand,Business Services,HIG 4 ARGORA HOUSING COLONY RANCHI Jharkhand INDIA 834002,Indian Non-Government Company
U72200JH2015PTC002778,TECHNOSOFT SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","130,000.00",30-03-15,Jharkhand,RoC-Jharkhand,Business Services,"68, PENNAR ROAD, FLAT NO. 3/4 SAKCHI JAMSHEDPUR Jharkhand INDIA 831001",Indian Non-Government Company
U52100JH2015PTC002777,OM MATI INFRA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","200,000.00",30-03-15,Jharkhand,RoC-Jharkhand,Trading,"FLAT NUMBER - 201, GANESHALEYA APARTMENT, JHARUDIH DHANBAD Jharkhand INDIA 826004",Indian Non-Government Company
U52100JH2015OPC002759,HARISONS COMMERCIAL PRIVATE LIMITED (OPC),ACTIVE,One Person Company,Company Limited by Shares,"500,000.00","100,000.00",23-03-15,Jharkhand,RoC-Jharkhand,Trading,"SINGH NAGAR KATRAS MORE, JHARIA DHANBAD Jharkhand INDIA 828111",Indian Non-Government Company
U74999JH2015PTC002779,EXACT MARKETING & DISTRIBUTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",30-03-15,Jharkhand,RoC-Jharkhand,Business Services,"SHOP NO. B-62, DR. RAJENDRA PRASAD JAWAN BHAWAN CUM SAINIK BAZAR COMPLEX BUILDING, MAIN ROAD RANCHI Jharkhand INDIA 834001",Indian Non-Government Company
U45200JH2015PTC002772,ADITYA EARTH AND ROCK MOVER PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",27-03-15,Jharkhand,RoC-Jharkhand,Construction,"Beside Chatakpur Road, Sant Nagar Near Jhiri Govt School, P.O. Kamre, Ratu Road Ranchi Jharkhand INDIA 834005",Indian Non-Government Company
U28113JH2015PTC002760,DURGASHREE ENGINEERING AND FABRICATORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",23-03-15,Jharkhand,RoC-Jharkhand,"Manufacturing (Metals & Chemicals, and products thereof)","H.NO- 11, ROAD NO-3, CHHOTA GOVINDPUR JAMSHEDPUR Jharkhand INDIA 831004",Indian Non-Government Company
U74999JH2015PTC002770,PREFERRED PERFORMANCE ADVISORS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",26-03-15,Jharkhand,RoC-Jharkhand,Business Services,"H.No 1622, VIJAYA GOLDEN TOWN, 16 BERYL, SONARI JAMSHEDPUR Jharkhand INDIA 831011",Indian Non-Government Company
U45200JH2015PTC002754,SIRDISAI DEVELOPERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",19-03-15,Jharkhand,RoC-Jharkhand,Construction,"C/O MAHENDRA PRATAP SINGH J.P.LANE, HIRABAG, MATWARI HAZARIBAG Jharkhand INDIA 825301",Indian Non-Government Company
U22219JH2015PTC002751,AIMWORLD SOLUTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","100,000.00",19-03-15,Jharkhand,RoC-Jharkhand,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","ANWAR ANSARI KUNDA ,TIRLA MAHUATAND Jharkhand INDIA 829134",Indian Non-Government Company
U74999JH2015PTC002763,TATA NAGAR KONARK SECURITY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",24-03-15,Jharkhand,RoC-Jharkhand,Business Services,"TIWARI BUILDING, H. NO.- 21 KAILASH NAGAR, SONARI JAMSHEDPUR Jharkhand INDIA 831011",Indian Non-Government Company
U40300JH2015PTC002748,TATISILWAI ENGINEERINGS WORKS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","200,000.00",18-03-15,Jharkhand,RoC-Jharkhand,"Electricity, Gas & Water companies","186, BHANDAR TOLI TATISILWAY, CHATRA-31 RANCHI Jharkhand INDIA 835103",Indian Non-Government Company
U27310JH2015PTC002750,CHANDIL IRON AND STEEL PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","100,000.00",19-03-15,Jharkhand,RoC-Jharkhand,"Manufacturing (Metals & Chemicals, and products thereof)","DUPLEX NO. E-11, VATIKA GREEN CITY DIMNA ROAD, MANGO JAMSHEDPUR Jharkhand INDIA 831012",Indian Non-Government Company
U45200JH2015PTC002756,SRIJAN INFRASSOCIATE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"4,000,000.00","2,000,000.00",19-03-15,Jharkhand,RoC-Jharkhand,Construction,"D-1, WEST LAYOUT, ROAD NO.-A SONARI JAMSHEDPUR Jharkhand INDIA 831011",Indian Non-Government Company
U45203JH2015PTC002724,JAIJAGANNATH ENGICON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","150,000.00",03-03-15,Jharkhand,RoC-Jharkhand,Construction,"AT - HATHDHARA, PO-GUHIYAJORI PS - BINDAPATHAR JAMTARA Jharkhand INDIA 815351",Indian Non-Government Company
U74999JH2015PTC002722,GOLD FINCH MEDICARE PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","500,000.00",02-03-15,Jharkhand,RoC-Jharkhand,Business Services,"MIG B/68, HOUSING COLONY, BARTAND, DHANBAD Jharkhand INDIA 826001",Indian Non-Government Company
U93000JH2015PTC002732,SHRI BALAJEE DECORATED EVENT MANAGEMENT PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",11-03-15,Jharkhand,RoC-Jharkhand,"Community, personal & Social Services","Near H.E.C. Plant Hospital, Shri Balajee Tent House, P.O.+P.S. - Dhurwa Ranchi Jharkhand INDIA 834004",Indian Non-Government Company
U01403JH2015PTC002747,EPOCH AGRO PHARMA PRODUCER COMPANY LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","500,000.00",18-03-15,Jharkhand,RoC-Jharkhand,Agriculture and Allied Activities,"FLAT NO 101A, LOTUS APARTMENT, NEAR SAINIK SCHOOL, BARIATU ROAD RANCHI Jharkhand INDIA 834009",Indian Non-Government Company
U74999JH2015PTC002783,DHARA RESORTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",30-03-15,Jharkhand,RoC-Jharkhand,Business Services,BIKASH NAGAR HEHAL RANCHI Jharkhand INDIA 834005,Indian Non-Government Company
U33111JH2015PTC002764,RAVIAN FORMULATION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","100,000.00",25-03-15,Jharkhand,RoC-Jharkhand,Manufacturing (Machinery & Equipments),"L - 41, ARGORA HOUSING COLONY ARGORA RANCHI Jharkhand INDIA 834002",Indian Non-Government Company
U92412JH2015PTC002768,VISION XTRA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",25-03-15,Jharkhand,RoC-Jharkhand,"Community, personal & Social Services","30F, CITY CENTER, FIRST FLOOR OPPOSITE GOSSNER COLLEGE, CLUB ROAD RANCHI Jharkhand INDIA 834001",Indian Non-Government Company
U74999JH2015PTC002771,BALAJI CORPLOAN CONSULTANTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",27-03-15,Jharkhand,RoC-Jharkhand,Business Services,"E 2nd Floor, South Block, Krishna Apartment Rangatand Dhanbad Jharkhand INDIA 826001",Indian Non-Government Company
U18204JH2015PTC002744,BIBOGA FASHION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",17-03-15,Jharkhand,RoC-Jharkhand,Manufacturing (Textiles),"HOUSE NO.-295, NEAR DEOGHAR PUBLIC SCHOOL CHATTRI STHAN, KARNIBAGH P.O-ASHRAM, P.S-KUNDA DEOGHAR Jharkhand INDIA 814112",Indian Non-Government Company
U34100JH2015PTC002757,SAI TRUCKING SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","500,000.00",20-03-15,Jharkhand,RoC-Jharkhand,Manufacturing (Machinery & Equipments),"H. NO.-21, ZONE NO.- 11, BIRSANAGAR NEAR CANARA BANK, TELCO JAMSHEDPUR Jharkhand INDIA 831004",Indian Non-Government Company
U01111JH2015PTC002775,GIDOM SAMSONS AGRO PRODUCTS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",27-03-15,Jharkhand,RoC-Jharkhand,Agriculture and Allied Activities,"BADRI PRASAD, C/O: S/O K.SHARMA MAHADEO TOLI, CHUTIA RANCHI Jharkhand INDIA 834001",Indian Non-Government Company
U45201JH2015PTC002725,MAA GURU ENGICON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","400,000.00",04-03-15,Jharkhand,RoC-Jharkhand,Construction,"O-319,3RD FLOOR, OAKWOOD ASHIANA WOODLANDS PARDIH, ASAN BANI KANDERBERA CHANDIL SERAIKELA-KHARSAWAN JAMSHEDPUR Jharkhand INDIA 832401",Indian Non-Government Company
U45201JH2015PTC002753,RAY GOVIND ENGINEERING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","200,000.00",19-03-15,Jharkhand,RoC-Jharkhand,Construction,"HNo 20U Raydih, Ghorlas Jasidih Jharkhand INDIA 814152",Indian Non-Government Company
U45201JH2015PTC002728,SAHASTRANSHU DEVELOPERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"300,000.00","100,000.00",11-03-15,Jharkhand,RoC-Jharkhand,Construction,"KHATA NO-566 PLOT NO-7018 BYE PASS ROAD, CHAS BOKARO Jharkhand INDIA 827013",Indian Non-Government Company
U45203JH2015PTC002694,TAHREEM CONSTRUCTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",20-02-15,Jharkhand,RoC-Jharkhand,Construction,BARHAIT BAZAR BARHAIT SAHIBGANJ Jharkhand INDIA 816102,Indian Non-Government Company
U45201JH2015PTC002700,VIVEK SINGH CONSTRUCTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","500,000.00",23-02-15,Jharkhand,RoC-Jharkhand,Construction,"GOPI NATH LANE PALMARGANJ, LOHARDAGA LOHARDAGA Jharkhand INDIA 835302",Indian Non-Government Company
U45201JH2015PTC002715,NEERAJ SAI CONSTRUCTION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","500,000.00",27-02-15,Jharkhand,RoC-Jharkhand,Construction,"C/O-SANJAY KUMAR SINGH, GOPI NATH LANE PALMARGANJ, LOHARDAGA LOHARDAGA Jharkhand INDIA 835302",Indian Non-Government Company
U52100JH2015PTC002721,SHASHWAT EQUICOM TRADING PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"200,000.00","200,000.00",02-03-15,Jharkhand,RoC-Jharkhand,Trading,"84, RETIRED COLONY ,JEETPUR ,PURAN PO:GOMO GOMO Jharkhand INDIA 828401",Indian Non-Government Company
U45201JH2015PTC002697,MEGA VISION ENGICON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","1,000,000.00",23-02-15,Jharkhand,RoC-Jharkhand,Construction,"2ND FLOOR, PINK PALACE MAIN ROAD DALTONGANJ Jharkhand INDIA 822101",Indian Non-Government Company
U45201JH2015PTC002765,DREAMCITY ABODES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"100,000.00","100,000.00",25-03-15,Jharkhand,RoC-Jharkhand,Construction,"MAUJA NO. 8, KHATA NO. 51 PLOT NO. 769, SAHAYOGI NAGAR, HIRAPUR DHANBAD Jharkhand INDIA 828127",Indian Non-Government Company
U45203JH2015PTC002731,KRISHNADEV ENGICON PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",11-03-15,Jharkhand,RoC-Jharkhand,Construction,"H.NO-35, POST OFFICE ROAD WARD NO-7, SARAIKELA JAMSHEDPUR Jharkhand INDIA 833219",Indian Non-Government Company
U45201JH2015PTC002705,HIGHSTREET ENTERPRISES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",24-02-15,Jharkhand,RoC-Jharkhand,Construction,"3rd FLOOR 302,COMMERCE HOUSE,SHARDA BABU STREET, MAUZA-CHADRI,P.S KOTWALI,THANA NO.-199 RANCHI Jharkhand INDIA 834001",Indian Non-Government Company
U52100JH2015PTC002741,BANESHWARI TRADE AND SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"500,000.00","200,000.00",17-03-15,Jharkhand,RoC-Jharkhand,Trading,"542, 1st PHASE, SYNDICATE COLONY KADMA JAMSHEDPUR Jharkhand INDIA 831005",Indian Non-Government Company
U45201JH2015PTC002712,SATYAWATI HOMEMAKERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",26-02-15,Jharkhand,RoC-Jharkhand,Construction,"VIG MARKET, OLD THANA ROAD, CHOTA GOVINDPUR, JAMSHEDPUR Jharkhand INDIA 831015",Indian Non-Government Company
U80904JH2015PTC002745,SAMBHAV GURUKUL SHIKSHA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","200,000.00",17-03-15,Jharkhand,RoC-Jharkhand,"Community, personal & Social Services","Block 16, 2nd Floor, Flat No 202, NCC Urban Complex, Khelgaon, Hotwar RANCHI Jharkhand INDIA 835217",Indian Non-Government Company
U73200JH2015NPL002780,DARE AND CARE ASSOCIATIONS,ACTIVE,Private,Company Limited by Guarantee,NA,NA,30-03-15,Jharkhand,RoC-Jharkhand,"Community, personal & Social Services",RANI BAZAR PO KATRASGARH DHANBAD Jharkhand INDIA 828113,Guarantee and association Company
