CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U65921MN1993PTC008270,YVU FINANCIAL SERVICES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"50,000,000.00","29,966,400.00",09-07-93,Manipur,RoC-Shillong,Finance,WAIVIEW BHAWAN THOUBAL WANGMATABA THOUBAL Manipur INDIA 795138,Indian Non-Government Company
U50200MN1947PTC001109,MANIPUR MOTOR ASSOCIATION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","350,000.00",02-07-47,Manipur,RoC-Shillong,Trading,GANDHI AVENUE FRIENDS TALKIES IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U91110MN1966NPL001263,ALL MANIPUR INDUSTRIALISTS ASSOCIATION,ACTIVE,Public,Company Limited by Guarantee,NA,NA,06-01-66,Manipur,RoC-Shillong,"Community, personal & Social Services",KHURAI SOIBAM LEIKAI IMPHAL Manipur INDIA,Company licensed under Section25
U75112MN1969SGC001299,MANIPUR INDUSTRIAL DEVELOPMENT CORPORATION LTD,DORMANT,Private,Company Limited by Shares,"1,000,000.00","200,000.00",03-06-69,Manipur,RoC-Shillong,"Community, personal & Social Services",PAONA ROADIMPHAL MANIPUR Manipur INDIA,State Government Company
U17119MN1974SGC001488,MANIPUR SPINNING MILLS CORPN LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000,000.00","20,000,000.00",27-03-74,Manipur,RoC-Shillong,Manufacturing (Textiles),"Directorate of Commerce & Industries Office Bldg., Lamphelpat, IMPHAL Manipur INDIA 795004",State Government Company
U51909MN1975PTC001615,MANIPUR BAKERY OWNERS ASSOCIATION PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"75,000.00","49,000.00",03-03-75,Manipur,RoC-Shillong,Trading,IMPHAL IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U72100MN1976PTC001664,PHOUOIBI SAVING CHIT & INVESTMENT CO PVT LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","10,000.00",26-05-76,Manipur,RoC-Shillong,Business Services,KWATEIIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U55101MN1976PTC001667,HOTEL JUPITER PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",20,08-06-76,Manipur,RoC-Shillong,Trading,THANGAL BAZARIMPHAL MANIPUR Manipur INDIA 795001,Indian Non-Government Company
U36101MN1976SGC001677,MANIPUR HANDLOOM & HANDICRAFTS DEVELOPMENT CORPN LTD,DORMANT,Public,Company Limited by Shares,"4,000,000.00","4,000,000.00",16-10-76,Manipur,RoC-Shillong,Manufacturing (Others),KEISHAMPAT IMPHAL Manipur INDIA,State Government Company
U01132MN1977PTC001712,CHANSO PRONGO TEA CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"200,000.00","100,000.00",29-06-77,Manipur,RoC-Shillong,Agriculture and Allied Activities,IMPHAL IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U65992MN1977PTC001717,MANIPUR CHITS SAVINGS & INVESTMENT CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00",200,30-07-77,Manipur,RoC-Shillong,Finance,PAN BAZARIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U65922MN1979SGC001776,MANIPUR TRIBAL DEVELOPMENT CORPN LTD,DORMANT,Private,Company Limited by Shares,"10,000,000.00","100,000.00",21-06-79,Manipur,RoC-Shillong,Finance,"NEW SECRETARIAT, LAMPHELHAT, IMPHAL Manipur INDIA 795004",State Government Company
U01222MN1979PTC001788,BSS AGRO INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00",NA,21-08-79,Manipur,RoC-Shillong,Agriculture and Allied Activities,thangmeiband Imphal Manipur Manipur INDIA,Indian Non-Government Company
U01409MN1981SGC001871,MANIPUR AGRO INDUSTRIES CORPN LTD,DORMANT,Public,Company Limited by Shares,"20,000,000.00","20,000,000.00",19-03-81,Manipur,RoC-Shillong,Agriculture and Allied Activities,MANTIPUKHRI IMPHAL Manipur INDIA 795001,State Government Company
U01132MN1981SGC001872,MANIPUR PLANTATION CROPS CORPORATION LTD,DORMANT,Private,Company Limited by Shares,"20,000,000.00","20,000,000.00",19-03-81,Manipur,RoC-Shillong,Agriculture and Allied Activities,"Department of Agriculture, SECRETARIAT IMPHAL Manipur INDIA",State Government Company
U45203MN1981PTC001878,MANIPUR BUILDERS & CONSTRUCTION CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","61,000.00",27-04-81,Manipur,RoC-Shillong,Construction,LAXMI BAZAR MANIPUR CENTRAL DISTRICT IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U85110MN1982PTC002003,KHUPNEILENG KARUONG SONS & BROTHERS CO INDIA PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","120,000.00",17-12-82,Manipur,RoC-Shillong,"Community, personal & Social Services",GANDHI AVENUE IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U17115MN1983PTC002062,BLUESSY CONSTRUCTIONS COMPANY INDIA PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","150,000.00",08-07-83,Manipur,RoC-Shillong,Manufacturing (Textiles),MANIPUR Manipur INDIA,Indian Non-Government Company
U27203MN1984PTC002243,MANIPUR CONDUCTORS AND CABLES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,250,000.00","344,500.00",20-10-84,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",THANGMEIBAND IMPHAL Manipur INDIA 795004,Indian Non-Government Company
U35921MN1985SGC002374,MANIPUR CYCLES CORPN LTD,STRIKE OFF,Private,Company Limited by Shares,"10,000,000.00","4,015,000.00",28-06-85,Manipur,RoC-Shillong,Manufacturing (Machinery & Equipments),"NILO SINGH BUILDING, URIPOK KANCHUP ROAD, IMPHAL Manipur INDIA 795001",State Government Company
U01119MN1985PTC002393,EASTERN AGRO FARMS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","20,000.00",19-07-85,Manipur,RoC-Shillong,Agriculture and Allied Activities,THANGMEIBAND IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U24219MN1985PTC002440,SH CONSULTANT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","1,000.00",04-10-85,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",URPOK ROAD IMPHALDT CENTRAL MANIPUR Manipur INDIA,Indian Non-Government Company
U65922MN1986SGC002501,MANIPUR POLICE HOUSING CORPN LTD,DORMANT,Private,Company Limited by Shares,"10,000,000.00","200,000.00",25-03-86,Manipur,RoC-Shillong,Finance,OLD 6TH MANIPUR RIFLES COMPLEX IMPHAL Manipur INDIA 795001,State Government Company
U65929MN1987PLC002656,MANIPUR FINANCE AND INVESTMENT LIMITED,STRIKE OFF,Public,Company Limited by Shares,"500,000.00","12,500.00",20-02-87,Manipur,RoC-Shillong,Finance,KEISHAMPAT IMPHAL Manipur INDIA,Indian Non-Government Company
U29309MN1987SGC002683,MANIPUR ELECTRONICS DEVELOPMENT CORPORATION LIMITED,DORMANT,Private,Company Limited by Shares,"30,000,000.00","3,988,000.00",28-04-87,Manipur,RoC-Shillong,Manufacturing (Machinery & Equipments),"B-14, TAKYAL INDUSTRIAL ESTATE TAKYEL PAT IMPHAL Manipur INDIA 795001",State Government Company
U15421MN1987SGC002684,MANIPUR FOOD INDUSTRIES CORPORATION LIMITED,DORMANT,Private,Company Limited by Shares,"70,000,000.00","7,839,000.00",29-04-87,Manipur,RoC-Shillong,Manufacturing (Food stuffs),"DIRECTORATE OF INDUSTRIES, MANIPUR BUILDING, LAMPHELPAT, IMPHAL, Manipur INDIA",State Government Company
U92111MN1987SGC002688,MANIPUR FILM DEV CORPN LTD,ACTIVE,Public,Company Limited by Shares,"15,000,000.00","300,000.00",01-05-87,Manipur,RoC-Shillong,"Community, personal & Social Services",MANIPUR Manipur INDIA,State Government Company
U20211MN1987PTC002754,MANGALAM WOOD INDUSTRIES PVT LTD,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","9,160,000.00",30-07-87,Manipur,RoC-Shillong,Manufacturing (Wood Products),THANGAL BAZAR IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U74140MN1987SGC002755,NORTH EASTERN INDUSTRIAL CONSULTANTS LTD,DORMANT,Public,Company Limited by Shares,"5,000,000.00","2,079,000.00",31-07-87,Manipur,RoC-Shillong,Business Services,"THANGMEIBAND POLEM LEIKAI, OPP. ABC INDIA LTD, IMPHAL Manipur INDIA 795001",State Government Company
L65929MN1987PLC002802,NEW MILLENIUM HEALTH CARE PRODUCTS & EQUIPMENT LIMITED,STRIKE OFF,Public,Company Limited by Shares,"220,000,000.00","220,000,000.00",20-11-87,Manipur,RoC-Shillong,Finance,"DHARAMSALA ROAD, IMPHAL, Manipur INDIA",Indian Non-Government Company
U27109MN1987PTC002809,UNICORN TRADING CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","1,000.00",26-11-87,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",KHOYATHANG THANGAL BAZAR IMPHAL Manipur INDIA,Indian Non-Government Company
U20211MN1988PLC002864,MANIPUR UDYOG LIMITED,STRIKE OFF,Public,Company Limited by Shares,"2,500,000.00","3,000.00",05-02-88,Manipur,RoC-Shillong,Manufacturing (Wood Products),JENIBAM IMPHAL Manipur INDIA,Indian Non-Government Company
U50102MN1988PTC002874,B M FINANCIAL AND INDUSTRIAL SERVICES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"250,000.00","2,000.00",16-02-88,Manipur,RoC-Shillong,Trading,KHURAI THANGJAM LEIKAIIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U01409MN1988PTC002892,IMPHAL AGRO INDUSTRIAL DEVELOPMENT CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","17,300.00",29-02-88,Manipur,RoC-Shillong,Agriculture and Allied Activities,IMPHAL Manipur INDIA,Indian Non-Government Company
U01119MN1988PTC002893,INTERNATIONAL BUSINESS & TRAVELS DEVELOPMENT CORPORATION PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"10,000,000.00","3,000.00",14-03-88,Manipur,RoC-Shillong,Agriculture and Allied Activities,IMPHAL IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U65921MN1988PTC002968,KHUNDRAKPAM FINANCE PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00","20,000.00",28-04-88,Manipur,RoC-Shillong,Finance,B T ROAD NEAR IRABAT BHAWANIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U26942MN1988SGC002981,MANIPUR CEMENTS LIMITED,STRIKE OFF,Private,Company Limited by Shares,"35,000,000.00","35,000,000.00",10-05-88,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",C O DIRECTORATE OF INDUSTRIES IMPHAL Manipur INDIA,State Government Company
U15214MN1988PTC003036,SHREE MANIPUR ROLLER FLOUR MILLS PVT LTD,ACTIVE,Private,Company Limited by Shares,"9,900,000.00","9,789,500.00",19-07-88,Manipur,RoC-Shillong,NA,THANGAL BAZARIMPHAL IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U20211MN1988PTC003042,MANIPUR JANATA FLOUR MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"3,000,000.00","13,000.00",19-07-88,Manipur,RoC-Shillong,Manufacturing (Wood Products),KANCHIPURIMPHAL MANIPUR Manipur INDIA 795003,Indian Non-Government Company
U65929MN1988PTC003061,IMPHAL FINANCE AND INVESTMENT CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","7,500.00",17-08-88,Manipur,RoC-Shillong,Finance,KHER GAONIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U65922MN1988PTC003064,REGIONAL FINANCE AND INVESTMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","3,000.00",19-08-88,Manipur,RoC-Shillong,Finance,URIPOK BACHASPATI LEIKAIIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U65921MN1988PTC003076,HIGH TECH AUTO FINANCE PVT LTD,ACTIVE,Private,Company Limited by Shares,"2,000,000.00","200,000.00",19-09-88,Manipur,RoC-Shillong,Finance,URIPOKIMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U51909MN1988PLC003079,LUPA MARUP LIMITED,STRIKE OFF,Public,Company Limited by Shares,"500,000.00","14,000.00",21-09-88,Manipur,RoC-Shillong,Trading,THANGMEIBANDHIZAM DEWAN LEIKAI IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U51101MN1988PTC003080,HOTEL DIPLOMAT MANIPUR PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"9,900,000.00","5,900,000.00",21-09-88,Manipur,RoC-Shillong,Trading,B T ROADIMPHAL MANIPUR Manipur INDIA 795001,Indian Non-Government Company
U65921MN1988PTC003089,SOCIO ECONOMIC FINANCE AND INVESTMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","60,000.00",04-10-88,Manipur,RoC-Shillong,Finance,LILONG BAZARTHOUBAL MANIPUR Manipur INDIA,Indian Non-Government Company
U26931MN1988PTC003091,MANIPUR BRICKS MANUFACTURERS PVT LTD,DORMANT,Private,Company Limited by Shares,"1,000,000.00","8,000.00",06-10-88,Manipur,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",KHOYATHONG ROADTHANGAL BAZAR IMPHAL MANIPUR Manipur INDIA,Indian Non-Government Company
U15143MN1988PLC003108,MANIPUR VANASPATI AND ALLIED INDUSTRIES LTD.,ACTIVE IN PROGRESS,Public,Company Limited by Shares,"30,000,000.00","20,350,470.00",14-10-88,Manipur,RoC-Shillong,Manufacturing (Food stuffs),M.G AVENUE IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U51909MN1988PTC003110,A K MANUFACTURING PVT LTD,ACTIVE,Private,Company Limited by Shares,"5,000,000.00","3,292,000.00",26-10-88,Manipur,RoC-Shillong,Trading,Thangal bazar manipur IMPHAL Manipur INDIA 795001,Indian Non-Government Company
U21011MN1988SGC003112,MANIPUR PULP AND ALLIED PRODUCTS LTD,DORMANT,Private,Company Limited by Shares,"9,000,000.00","7,331,000.00",27-10-88,Manipur,RoC-Shillong,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","KADAMTALA, JIRIBAM JIRIBAM Manipur INDIA",State Government Company
