CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U26942ML1993PTC003833,ANCHOR CEMENTS PVT LTD,ACTIVE,Private,Company Limited by Shares,"12,500,000.00","510,000.00",11-01-93,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","9TH MILE, NEAR PETROL PUMP, G.S. ROAD, JORABAT Meghalaya INDIA",Indian Non-Government Company
U27107ML1996PLC008270,SHREE SANYEEJI STEELS LTD,ACTIVE,Public,Company Limited by Shares,"30,000,000.00","16,450,000.00",18-01-96,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",15TH MILE RANGSAKONA BYRNIHAT Meghalaya INDIA 793101,Indian Non-Government Company
U27107ML1996PLC008272,SHIVA COMMERCIALS LTD,ACTIVE,Public,Company Limited by Shares,"30,000,000.00","14,425,000.00",04-06-96,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",15TH MILE RANGSAKONA BYRNIHAT Meghalaya INDIA 793001,Indian Non-Government Company
U27107ML1996PLC008271,SUYASH COMMERCIALS LTD,ACTIVE,Public,Company Limited by Shares,"30,000,000.00","27,600,000.00",04-06-96,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",15TH MILE RANGSAKONA BYRNIHAT Meghalaya INDIA 793001,Indian Non-Government Company
U27107ML1996PLC004766,J C ENTERPRISES LTD,ACTIVE,Public,Company Limited by Shares,"30,000,000.00","16,985,000.00",04-06-96,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",15TH MILE RANGSAKONA BYRNIHAT Meghalaya INDIA 793001,Indian Non-Government Company
U60231ML2000PTC008582,BCMS TRADERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","483,000.00",12-07-00,Meghalaya,RoC-Shillong,"Transport, storage and Communications","C/O CELLIE MARAK (DIRECTOR), 23 UPPER CHANDMARI TURA Meghalaya INDIA 794002",Indian Non-Government Company
U23109ML2005PTC008361,SHREE SHAKAMBARI FERRO ALLOYS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"55,000,000.00","46,479,350.00",25-02-05,Meghalaya,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","Village: Riwiang, Branch Post Office:Sienduli Via:Nongstion' Dist: West Khasi Hills Riwiang Meghalaya INDIA 793119",Indian Non-Government Company
U01134ML1918PLC000214,UNITED FRUIT CO LTD,ACTIVE,Public,Company Limited by Shares,"1,225,000.00","1,225,000.00",07-06-18,Meghalaya,RoC-Shillong,Agriculture and Allied Activities,NONGMALI SHILLONG Meghalaya INDIA 793008,Indian Non-Government Company
U85110ML1936PTC000475,COMMERCIAL LOAN CO PRIVATE LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","10,150.00",11-12-36,Meghalaya,RoC-Shillong,"Community, personal & Social Services",MEGHALAYA Meghalaya INDIA,Indian Non-Government Company
U63011ML1940PLC000530,UNITED MOTOR TRANSPORTS CO LTD,STRIKE OFF,Public,Company Limited by Shares,"400,000.00","160,000.00",26-02-40,Meghalaya,RoC-Shillong,"Transport, storage and Communications",JAIL ROAD SHILLONG Meghalaya INDIA 793001,Indian Non-Government Company
