CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U60210MZ1971PTC001346,MIZO TRANSPORT CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00",300,29-06-71,Mizoram,RoC-Shillong,"Transport, storage and Communications",BARA BAZARAIZAWL MIZORAM Mizoram INDIA,Indian Non-Government Company
U72100MZ1976PTC001668,HOTEL MOREENE PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00",400,08-06-76,Mizoram,RoC-Shillong,Business Services,AIZWAL AIZWAL MIZORAM Mizoram INDIA,Indian Non-Government Company
U75132MZ1978SGC001732,ZORAM INDUSTRIAL DEVELOPMENT CORPORATION LTD,ACTIVE,Public,Company Limited by Shares,"200,000,000.00","157,810,000.00",27-02-78,Mizoram,RoC-Shillong,"Community, personal & Social Services",UPPER KHATLA AIZWAL Mizoram INDIA 796001,State Government Company
U55101MZ1984PTC002211,MOONLIGHT HOTEL PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"3,500,000.00","1,130,000.00",17-08-84,Mizoram,RoC-Shillong,Trading,AIZAWL Mizoram INDIA,Indian Non-Government Company
U72100MZ1988PLC003015,MIZO TUBES LTD,STRIKE OFF,Public,Company Limited by Shares,"4,000,000.00",200,28-06-88,Mizoram,RoC-Shillong,Business Services,CHANDMARYAIZWAL MIZORAM Mizoram INDIA,Indian Non-Government Company
U65929MZ1988SGC003161,MIZORAM HANDLOOM AND HANDICRAFTS DEVELOPMENT CORPORATION LTD,DORMANT,Private,Company Limited by Shares,"100,000,000.00","100,000,000.00",20-12-88,Mizoram,RoC-Shillong,Finance,"KHATLA, AIZWAL, Mizoram INDIA 796001",State Government Company
U27310MZ1989PTC003167,ZORAM GALVANISHED CORRUGATION INDUSTRY PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","30,000.00",18-01-89,Mizoram,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",ZARKAWAT AIZAWL Mizoram INDIA,Indian Non-Government Company
U15134MZ1989SGC003379,MIZORAM FOOD AND ALLIED INDUSTRIES CORPORATION LTD,ACTIVE,Private,Company Limited by Shares,"200,000,000.00","197,830,900.00",19-12-89,Mizoram,RoC-Shillong,Manufacturing (Food stuffs),CANTEEN SQUARE AIZAWL Mizoram INDIA 796001,State Government Company
U45201MZ1990PTC003417,MIZORAM ELITE CONSTRUCTION COMPANY PVT LTD,ACTIVE,Private,Company Limited by Shares,"3,000,000.00","2,990,000.00",01-03-90,Mizoram,RoC-Shillong,Construction,KANAN VENG AIZAWL Mizoram INDIA 796009,Indian Non-Government Company
U85110MZ1990PTC003430,GREENWOOD HOSPITAL PVT LTD,ACTIVE,Private,Company Limited by Shares,"12,500,000.00","11,637,300.00",19-04-90,Mizoram,RoC-Shillong,"Community, personal & Social Services",BAWNGKAWN AIZAWL Mizoram INDIA,Indian Non-Government Company
U72100MZ1990PTC003487,MIZORAM ELECTRICALS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","108,000.00",03-12-90,Mizoram,RoC-Shillong,Business Services,KANAN AIZAWL Mizoram INDIA,Indian Non-Government Company
U31909MZ1991SGC003526,ZORAM ELECTRONICS DEVELOPMENT CORPORATION LIMITED,DORMANT,Public,Company Limited by Shares,"500,000.00","47,737.00",20-03-91,Mizoram,RoC-Shillong,Manufacturing (Machinery & Equipments),TREASURY SQUARE AIZAWL Mizoram INDIA 796001,State Government Company
U20299MZ1992PTC003700,ZONUN MAT PLY PVT LTD,DORMANT,Private,Company Limited by Shares,"7,000,000.00","4,000,000.00",28-04-92,Mizoram,RoC-Shillong,Manufacturing (Wood Products),"A-20, ZARKAWT AIZWAL-1,AIZAWL, MIZORAM. Mizoram INDIA",Indian Non-Government Company
