CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U01132NL1949PTC000895,BOKAJAN TEA CO PVT LTD,ACTIVE,Private,Company Limited by Shares,4000000,500625,29-03-49,Nagaland,RoC-Shillong,Agriculture and Allied Activities,CIRCULAR ROAD DIST DIMAPUR DIMAPUR Nagaland INDIA 797112,Indian Non-Government Company
U72100NL1983PTC002011,SANJAY SAW MILL PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,200,16-02-83,Nagaland,RoC-Shillong,Business Services,"Diphu, Karbi Anlong, Nagaland Nagaland Nagaland INDIA",Indian Non-Government Company
U20293NL1952PTC001012,KRISHNA PADA COOMER & CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,800000,3000,13-08-52,Nagaland,RoC-Shillong,Manufacturing (Wood Products),DIMAPUR. DIST. KOHIMA Nagaland INDIA,Indian Non-Government Company
U75112NL1970SGC001312,NAGALAND INDUSTRIAL DEVELOPMENT CORPORATION LIMITED,ACTIVE,Private,Company Limited by Shares,250000000,189501800,26-03-70,Nagaland,RoC-Shillong,"Community, personal & Social Services","I D C HOUSE, P B NO 5 DIMAPUR Nagaland INDIA 797112",State Government Company
U21012NL1971SGC001349,NAGALAND PULP & PAPER COMPANY LTD,ACTIVE,Public,Company Limited by Shares,1500000000,666200700,14-09-71,Nagaland,RoC-Shillong,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","PAPER NAGAR , P.O. - TULI, DIST - MOKOKCHUNG Nagaland INDIA 798623",State Government Company
U20211NL1972PLC001375,NAGALAND FOREST PRODUCTS LTD,DORMANT,Public,Company Limited by Shares,5000000,2800000,05-02-72,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"TIJIT, DIST. MON Nagaland INDIA",Indian Non-Government Company
U72100NL1972PTC001396,NAGALAND CREDIT & INVESTMENT CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,25000,2000,19-12-72,Nagaland,RoC-Shillong,Business Services,SINGHI BRICKS BLDG LUNTHICOLONY DIMAPUR NAGALAND Nagaland INDIA,Indian Non-Government Company
U27104NL1973PTC001397,NAGALAND ROLLING MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1500000,129000,01-06-73,Nagaland,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",Kohima Road Dimapur Nagaland INDIA,Indian Non-Government Company
U15311NL1973PTC001399,DIMAPUR ROLLER FLOUR MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1500000,1043000,24-01-73,Nagaland,RoC-Shillong,Manufacturing (Food stuffs),DIMAPURDIST KOHIMA NAGALAND Nagaland INDIA,Indian Non-Government Company
U65920NL1973PTC001405,MERCANTILE CREDIT & INVESTMENT CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,25000,2000,03-12-73,Nagaland,RoC-Shillong,Finance,"GOMLI COLONY, DIMAPUR.DIST. KOHIMA Nagaland INDIA",Indian Non-Government Company
U15424NL1973SGC001406,NAGALAND SUGAR MILLS CO LTD,DORMANT,Public,Company Limited by Shares,25000000,16500000,22-03-73,Nagaland,RoC-Shillong,Manufacturing (Food stuffs),DIST KOHIMA DIMAPUR Nagaland INDIA,State Government Company
U67120NL1973PTC001407,NAGALAND ECONOMY PROMOTION AGENCY PVT LTD,ACTIVE,Private,Company Limited by Shares,2500000,2478000,22-03-73,Nagaland,RoC-Shillong,Finance,DIMAPUR DIST KOHIMABRIDGE ROAD DIMAPUR NAGALAND Nagaland INDIA 797112,Indian Non-Government Company
U51909NL1973SGC001411,NAGALAND INDUSTRIAL RAW MATERIALS&SUPPLY CORPORATION LTD,ACTIVE,Private,Company Limited by Shares,20000000,1028000,28-03-73,Nagaland,RoC-Shillong,Trading,"NEW INDUSTRIAL ESTATE, DIMAPUR Nagaland INDIA 797112",State Government Company
U20101NL1978PTC001742,NAGALAND VENEER & SAW MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,200000,20-05-78,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIRUNAGINIMORA NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1978PTC001743,KONYAK VENEER & SAW MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,200000,20-05-78,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIZITMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1978PTC001758,NAMSA TIMBER INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,200000,800,24-10-78,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"Po Tizit, Dt-Mon Koima Nagaland Nagaland INDIA",Indian Non-Government Company
U17113NL1979SGC001764,NAGALAND HANDLOOM & HANDICRAFTS DEVELOPMENT CORPORATION LIMITED,DORMANT,Private,Company Limited by Shares,90000000,8300000,27-02-79,Nagaland,RoC-Shillong,Manufacturing (Textiles),"DIMAPUR, DIST- KOHIMA NAGALAND Nagaland INDIA",State Government Company
U25209NL1979PTC001769,NAGALAND PLASTIC PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1250000,91420,19-04-79,Nagaland,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","BURMA CAMP ROAD, DIMAPUR Nagaland INDIA 797112",Indian Non-Government Company
U20211NL1979PTC001770,TIGER VENEER MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Guarantee,2500000,4000,05-10-79,Nagaland,RoC-Shillong,Manufacturing (Wood Products),P.o. Tizit Dist-Mon Kohima Nagaland Nagaland INDIA,Indian Non-Government Company
U20101NL1979PTC001793,KONYAK TIMBER INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,200000,132000,10-10-79,Nagaland,RoC-Shillong,Manufacturing (Wood Products),NAGINIMARAMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1980PTC001802,MOKOKCHUNG WOOD INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,500000,01-11-80,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Bismile P.O. Tuli NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1980PTC001806,NAGALAND WOOD PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,100000,27-02-80,Nagaland,RoC-Shillong,Manufacturing (Wood Products),PONGKONG SAFRAIMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1980PTC001823,LONGTHO VALLEY WOODCRAFTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,300000,15-07-80,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"Japu Area,Longnak MOKOKCHUNG Nagaland INDIA",Indian Non-Government Company
U50300NL1980PTC001836,IMPEX INTERNATIONAL PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,40000,23-09-80,Nagaland,RoC-Shillong,Trading,"Circular Road, Dimapur Nagaland INDIA",Indian Non-Government Company
U20211NL1980PTC001851,SRI NAGINIMORA WOOD PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,95000,0,25-11-80,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"NAGINIMORA, NAGALANDDIST. MON Nagaland INDIA",Indian Non-Government Company
U01132NL1981SGC001875,NAGALAND PLANTATION CROPS DEVELOPMENT CORPORATION LTD,DORMANT,Private,Company Limited by Shares,50000000,2000,04-06-81,Nagaland,RoC-Shillong,Agriculture and Allied Activities,KOHIMA Nagaland INDIA,State Government Company
U20101NL1981PTC001876,NAGINIMORA VENEER & SAW MILLS PVT LTD,ACTIVE,Private,Company Limited by Shares,2500000,2470000,04-07-81,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"MILAK INDUSTRIAL AREA, 8TH MILE TULI Nagaland INDIA 798618",Indian Non-Government Company
U11101NL1981SGC001879,NAGALAND STATE MINERAL DEVELOPMENT CORPORATION LTD,ACTIVE,Private,Company Limited by Shares,50000000,16000400,21-05-81,Nagaland,RoC-Shillong,Mining & Quarrying,A.G.COLONY KOHIMA Nagaland INDIA 797001,State Government Company
U20101NL1981PTC001893,NAGALAND SAW MILL TEMAN PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,2000000,31-08-81,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"Vill-Tiru Singphan P.O. Naginamara,Dist-Mon NAGALAND Nagaland INDIA",Indian Non-Government Company
U20299NL1981PTC001898,SIMLA SAW MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,200000,0,09-09-81,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"C/O SHRI OM PRAKASH VERMA S/O LT. BHURA RAM VERMA , P.O MOU MOU Nagaland INDIA",Indian Non-Government Company
U20100NL1981PTC001903,NAGALAND SAW & TIMBER PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,0,28-09-81,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"TIRU, NAGINIMARA, DIST. : MONNAGALAND dimapur Nagaland INDIA",Indian Non-Government Company
U20101NL1981PLC001910,CENTURY PLYWOODS LTD,ACTIVE,Public,Company Limited by Shares,2400000,504400,27-11-81,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"CIRCULAR ROAD, DIMAPUR, Nagaland INDIA 797112",Indian Non-Government Company
U55101NL1982SGC001927,NAGALAND HOTELS LIMITED,DORMANT,Public,Company Limited by Shares,20000000,4000200,17-03-82,Nagaland,RoC-Shillong,Trading,NIDC CAMPUS DIST DIMAPUR DIMAPUR Nagaland INDIA 797112,State Government Company
U31300NL1982PTC001934,NAGALAND CONDUCTORS & CABLES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,300000,17-04-82,Nagaland,RoC-Shillong,Manufacturing (Machinery & Equipments),"Industrial Estate, Dimpautr Nagaland INDIA",Indian Non-Government Company
U20101NL1982PTC001935,UPPER TIRU WOOD PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,500000,21-04-82,Nagaland,RoC-Shillong,Manufacturing (Wood Products),VILL TIRU P O NAGINIMARADIST MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1982PTC001938,KHOSA INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2500000,0,26-04-82,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"VETERINARY ROAD, P.O. DIMAPUR,NAGALAND DIMAPUR Nagaland INDIA",Indian Non-Government Company
U20211NL1982PTC001941,NAGALAND PLYWOOD PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2500000,0,05-05-82,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"LUMTHI COLONY, DIMAPURDIST. KOHIMA Nagaland INDIA 797112",Indian Non-Government Company
U20101NL1982PTC001943,TEKANG WOOD INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,1100000,05-11-82,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIZITMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1982PTC001944,TIZIT VENEER AND SAW MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,4000,05-11-82,Nagaland,RoC-Shillong,Manufacturing (Wood Products),P O TIZITDIST MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1982PTC001990,FRIENDS VENEER PVT LTD,DORMANT,Private,Company Limited by Shares,1000000,196800,24-11-82,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"TIZIT, NAGALANDDIST. MON Nagaland INDIA",Indian Non-Government Company
U20101NL1982PTC002002,LOWER TIRU FOREST PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,750000,16-12-82,Nagaland,RoC-Shillong,Manufacturing (Wood Products),NAGINIMORAMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1983PTC002008,KONYAK FOREST PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,1850000,27-01-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIZIT NAGALANDMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1983PTC002028,PLYCRAFT INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,200000,17-03-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),Naginimora Dist: Mon NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1983PTC002029,DIMAPUR VENEER & SAW MILLS PVT LTD,ACTIVE,Private,Company Limited by Shares,1000000,500000,17-03-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"Khatkati Road, Dimapur Nagaland INDIA",Indian Non-Government Company
U20211NL1983PTC002030,PURBACHAL WOOD INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,772000,19-03-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"Khatkati Road, Dimapur Nagaland INDIA",Indian Non-Government Company
U15311NL1983PTC002035,OTING TIMBER INDUSTIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,30000000,14629000,04-04-83,Nagaland,RoC-Shillong,Manufacturing (Food stuffs),P 0 TIRU NAGINIMARADIST MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1983PLC002036,KUDA WOOD PRODUCTS LTD,ACTIVE,Public,Company Limited by Shares,20000000,20000000,04-07-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"LENGRIJAN VILLAGE, DIPHU ROAD, DIMAPUR, Nagaland INDIA 797112",Indian Non-Government Company
U20101NL1983PTC002038,VAN UDYOG PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,795100,04-08-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),UPPER TIRU POST NAGINIMARADIST MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002039,GREENWOOD PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,100100,28-04-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),NAGINIMARAMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002040,WOOD & WOODS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,500600,28-04-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIRU P O NAGINIMARA NAGALANDDIST MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1983PLC002042,NAGALAND WOOD INDUSTRIES PVT.LTD,STRIKE OFF,Public,Company Limited by Shares,500000,200000,18-05-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),7TH MILE CHUMUKEDEMAKOHIMA ROAD DIMAPUR-3 NAGALAND 797103 Nagaland INDIA,Indian Non-Government Company
U20211NL1983PTC002043,NAGINIMORA WOOD CRAFTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,375000,18-05-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),NAGINIMORAMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20212NL1983PLC002061,NAGA HILL WOOD PRODUCTS LIMITED,DORMANT,Public,Company Limited by Shares,2000000,700000,30-06-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),VILL LOWER TIRUNAGINIMORA MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1983PTC002068,NAGALAND VENEER PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,3000,08-01-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),NAGINIMORAMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20211NL1983PTC002071,IDEAL PLY UDYOG PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2000000,900000,18-08-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),"P.O. Naginimara, Nagaland NAGALAND Nagaland INDIA 798622",Indian Non-Government Company
U20101NL1983PTC002072,HARON PLYWOOD PVT LTD,STRIKE OFF,Private,Company Limited by Shares,2500000,1092000,18-08-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TIRUNAGINIMORA NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002073,AMARJYOTI VENEER & SAW MILL PVT LTD,STRIKE OFF,Private,Company Limited by Shares,1000000,400,18-08-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),UPPER TIRU P O NAGINIMARADIST MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002076,C.M. INDUSTRIES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,0,09-01-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),HAGINIMARA P.O HAGINIMARA TOWN HAGINIMARA Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002079,MOILONG SAW & VENEER MILLS PVT LTD,DORMANT,Private,Company Limited by Shares,500000,217000,09-02-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),UPPER TIRUNAGINIMORA MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002080,WEKONG WOOD PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,500,09-02-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),VILL. UPPER TIRU P O & P SNAGINIMORA DIST MON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002085,NORTH EASTERN VENEER PRODUCTS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,500000,200,14-09-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),NAGINIMARAMON NAGALAND Nagaland INDIA,Indian Non-Government Company
U20101NL1983PTC002088,TULI WOOD PRODUCTS PVT LTD,DORMANT,Private,Company Limited by Shares,1000000,968000,26-09-83,Nagaland,RoC-Shillong,Manufacturing (Wood Products),TULIMOKOKCHUNG NAGALAND Nagaland INDIA,Indian Non-Government Company
