CIN,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,ROC,DESCRIPTION,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U55101PY2001PTC002822,JOY'S THE BEACH RESORT PRIVATE LIMITED,ACTIVE,PRIV,CLSH,42500000,40400000,12-11-01,Pondicherry,RoC-Pondicherry,Trading,No 3 Lake View Road Pudukuppam Nallavadu Post Puducherry Pondicherry INDIA 605007,Indian Non-Government Company
U72900PY1996PTC002941,EATON POWER QUALITY PRIVATE LIMITED,ACTIVE,PRIV,CLSH,130000000,128500010,03-01-96,Pondicherry,RoC-Pondicherry,Business Services,"No.2, EVR Street, Sedarapet Pondicherry Pondicherry INDIA 605111",Indian Non-Government Company
U15499PY1986PLC002550,VENKATRAMANA FOOD SPECIALITIES LIMITED,ACTIVE,PUBC,CLSH,115394000,115195925,19-08-86,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),"NO.7, MSI AREA, PIPDIC INDUSTRIAL ESTATE, 24TH CROSS, METTUPALAYAM Pondicherry INDIA 605009",Indian Non-Government Company
U72400PY2002PTC002843,RAP TECHNOLOGIES PRIVATE LIMITED,ACTIVE,PRIV,CLSH,1000000,523860,20-05-02,Pondicherry,RoC-Pondicherry,Business Services,"7 & 8, CITIZEN AVENUE, 4TH MAIN ROAD MAHAVEER NAGAR, LAWSPET PUDUCHERRY Pondicherry INDIA 605008",Indian Non-Government Company
U29199PY1983PLC002224,MAILAM INDIA LIMITED,ACTIVE,PUBC,CLSH,100000000,25921500,04-12-83,Pondicherry,RoC-Pondicherry,Manufacturing (Machinery & Equipments),MAILAM MAIN ROAD SEDARAPET PUDUCHERRY Pondicherry INDIA 605111,Indian Non-Government Company
L51909PY1919PLC002537,MARSHALL SONS AND CO INDIA LTD,ACTIVE,PUBC,CLSH,20000000,9073100,27-10-19,Pondicherry,RoC-Pondicherry,Trading,"24, Rue-Debassyns, De-Richmond Pondicherry Pondicherry INDIA 605001",Indian Non-Government Company
U74899PY2005PTC002945,EATON ELECTRIC PRIVATE LIMITED,ACTIVE,PRIV,CLSH,40000000,40000000,17-11-05,Pondicherry,RoC-Pondicherry,Business Services,"No.2, EVR Street, Sedarapet Pondicherry Pondicherry INDIA 605111",Indian Non-Government Company
U51909PY1930PLC000002,ETABLISSEMENT TEXTILE DE MODELIARPETH LIMITED,ACTIVE,PUBC,CLSH,600000,600000,02-11-30,Pondicherry,RoC-Pondicherry,Trading,"91, 5TH STREET, KUMARAN NAGAR, LAWSPET POST, PONDICHERRY. Pondicherry INDIA 605008",Indian Non-Government Company
U74999PY1951PLC000007,BEST AND CO (PONDY) LTD,STRIKE OFF,PUBC,CLSH,400000,0,19-02-51,Pondicherry,RoC-Pondicherry,Business Services,"ANGLO FRENCH TEXTILES LTD MILL PREMISES AT MUDALIARPET, PONDICHERRY-4 Pondicherry INDIA",Indian Non-Government Company
U15425PY1957PLC000021,NEW HORIZON SUGAR MILLS LTD,DORMANT,PUBC,CLSH,36000000,26299000,01-11-57,Pondicherry,RoC-Pondicherry,Manufacturing (Food stuffs),SACRUR (ARIYUR) P.O. 605 102KANDAMANGALAM PONDICHERRY. PONDICHERRY 605 102. Pondicherry INDIA 605102,Indian Non-Government Company
U17121PY1958PTC000029,CAUVERY TEXTILES PVT LTD,STRIKE OFF,PRIV,CLSH,10000,0,21-03-58,Pondicherry,RoC-Pondicherry,Manufacturing (Textiles),Pondicherry Pondicherry INDIA,Indian Non-Government Company
U60231PY1960PTC000040,PONDY TRANSPORT CO PVT LTD,STRIKE OFF,PRIV,CLSH,200000,0,01-04-60,Pondicherry,RoC-Pondicherry,"Transport, storage and Communications","90/3, CHINNASABBOVAYA, PILLAST., PONDICHERRY-4. pondicherry Pondicherry INDIA",Indian Non-Government Company
U99999PY1960PTC000044,MANORANJAN GANGULI AND SONS PRIVATE LIMITED,STRIKE OFF,PRIV,CLSH,100000,NA,27-06-60,Pondicherry,RoC-Pondicherry,NA,"CUDDALORE ROAD, MURUNGAMPAKKAMPONDICHERRY Pondicherry INDIA",Indian Non-Government Company
U17120PY1960PTC000045,PONDICHERRY TEXTILES PVT LTD,STRIKE OFF,PRIV,CLSH,100000,0,09-07-60,Pondicherry,RoC-Pondicherry,Manufacturing (Textiles),pondicherry Pondicherry INDIA,Indian Non-Government Company
U74999PY1961PTC000047,HINDOCHA BROTHERS PVT LTD,ACTIVE,PRIV,CLSH,2500000,100000,29-05-61,Pondicherry,RoC-Pondicherry,Business Services,25 RUE FRANCOIS MARTINP O BOX NO.85 PONDICHERRY 1 PONDICHERRY 1 Pondicherry INDIA 605001,Indian Non-Government Company
U60231PY1961PTC000048,KARIKAL TRANSPORTS PVT LTD,STRIKE OFF,PRIV,CLSH,99000,0,24-08-61,Pondicherry,RoC-Pondicherry,"Transport, storage and Communications",Pondicherry Pondicherry INDIA,Indian Non-Government Company
U31909PY1963PTC000069,AUROVILLE ELECTRONICS AND ALLIED INDUSTIRES PVT LTD,STRIKE OFF,PRIV,CLSH,20000000,100000,15-06-63,Pondicherry,RoC-Pondicherry,Manufacturing (Machinery & Equipments),24 RUE FRANCOIS MARTINPONDICHERRY 605 001 PONDICHERRY-605 001 Pondicherry INDIA 605001,Indian Non-Government Company
U65992PY1964PTC000075,KARUNYAMURTHI CHIT FUND PVT LTD,STRIKE OFF,PRIV,CLSH,10000,0,09-05-64,Pondicherry,RoC-Pondicherry,Finance,108 BHARATHI st. Pondicherry INDIA,Indian Non-Government Company
U74999PY1952PLC000080,SRI AUROBINDO BOOK DISTRIBUTION AGENCY LTD,STRIKE OFF,PUBC,CLAG,500000,0,01-02-52,Pondicherry,RoC-Pondicherry,Business Services,3 RUE DE LA CASERNEPONDICHERRY 1 Pondicherry INDIA,Indian Non-Government Company
U65992PY1965PTC000082,CHOCKANATHAN CHIT FUND AND FINANCE PVT LTD,STRIKE OFF,PRIV,CLSH,10000,0,24-04-65,Pondicherry,RoC-Pondicherry,Finance,"3/19 MARIAMMAN KOIL STREETSARAM, PONDICHERRY pondicherry Pondicherry INDIA",Indian Non-Government Company
