CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U20211TR1955PTC001106,TRIPURA PLYWOOD CORPORATION PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",15-11-55,Tripura,RoC-Shillong,Manufacturing (Wood Products),"College tilla, Agartala West Tripura Tripura INDIA 799001",Indian Non-Government Company
U01132TR1919PLC001117,KRISHNAPUR TEA CO LTD,ACTIVE,Public,Company Limited by Shares,"600,000.00","534,700.00",20-03-19,Tripura,RoC-Shillong,Agriculture and Allied Activities,Simna Sidhai West Tripura Agartala Tripura INDIA 799212,Indian Non-Government Company
U75123TR1965SGC001248,TRIPURA SMALL INDUSTRIES CORPORATION LIMITED,ACTIVE,Private,Company Limited by Shares,"600,000,000.00","475,581,600.00",30-04-65,Tripura,RoC-Shillong,"Community, personal & Social Services",KUNJABAN COLONY WEST TRIPURA AGARTALA Tripura INDIA 799005,State Government Company
U62200TR1973PTC001445,SALKAMA AIR LINES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","2,500.00",01-09-73,Tripura,RoC-Shillong,"Transport, storage and Communications",AGARTALA TRIPURAWEST TRIPURA TRIPURA Tripura INDIA,Indian Non-Government Company
U75112TR1974SGC001491,TRIPURA INDUSTRIAL DEVELOPMENT CORPORATION LTD,ACTIVE,Public,Company Limited by Shares,"200,000,000.00","144,854,500.00",28-03-74,Tripura,RoC-Shillong,"Community, personal & Social Services","SHILPA NIGAM BHAWAN, KHEJUR BAGAN KUNJABAN, AGARTALA TRIPURA Tripura INDIA 799006",State Government Company
U17113TR1974SGC001573,TRIPURA HANDLOOM & HANDICRAFTS DEVELOPMENT CORPORATION LIMITED,ACTIVE,Public,Company Limited by Shares,"600,000,000.00","289,898,800.00",05-09-74,Tripura,RoC-Shillong,Manufacturing (Textiles),MBB SARANI AGARTALA Tripura INDIA 799007,State Government Company
U17119TR1974SGC001589,TRIPURA JUTE MILLS LIMITED,ACTIVE,Public,Company Limited by Shares,"120,000,000.00","110,401,000.00",10-10-74,Tripura,RoC-Shillong,Manufacturing (Textiles),"HAPANIA BADARGHAT, O.N.G.C AGARTALA Tripura INDIA 799014",State Government Company
U51909TR1975PTC001622,PAUL BROTHERS ENTERPRISES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"20,000,000.00","2,000,000.00",03-06-75,Tripura,RoC-Shillong,Trading,Hariganga Barak Road Agartala Tripura INDIA,Indian Non-Government Company
U01116TR1976SGC001656,TRIPURA FOREST DEVELOPMENT AND PLANTATION CORPORATION LIMITED,ACTIVE,Public,Company Limited by Shares,"100,000,000.00","91,994,000.00",26-03-76,Tripura,RoC-Shillong,Agriculture and Allied Activities,"P.O. ABHOY NAGAR, KUNJABAN WEST TRIPURA AGARTALA Tripura INDIA 799005",State Government Company
U01119TR1977PLC001724,TRIPURA HILL DEVELOPMENT CO LTD,ACTIVE,Public,Company Limited by Shares,"700,000.00","503,535.00",11-10-77,Tripura,RoC-Shillong,Agriculture and Allied Activities,"29 OLD KALIBARI ROAD , TRIPURA , Tripura INDIA 799001",Indian Non-Government Company
U65929TR1978PTC001739,KANCHAN INVESTMENT PVT.LTD.,ACTIVE,Private,Company Limited by Shares,"1,500,000.00","1,450,300.00",12-05-78,Tripura,RoC-Shillong,Finance,HAFANIAAGARTALA TRIPURA Tripura INDIA 799014,Indian Non-Government Company
U55101TR1979PTC001786,MALANCHABAS COMPLEX PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","10,000.00",18-08-79,Tripura,RoC-Shillong,Trading,"Ujjayanta Palace, Agartala Tripura INDIA",Indian Non-Government Company
U01132TR1980SGC001831,TRIPURA TEA DEVELOPMENT CORPORATION LIMITED,ACTIVE,Private,Company Limited by Shares,"400,000,000.00","348,690,000.00",11-08-80,Tripura,RoC-Shillong,Agriculture and Allied Activities,TRIPURA TEA DEVELOPMENT CORPORATION LAKE CHOWMUHANI AGARTALA Tripura INDIA 799001,State Government Company
U01116TR1980PTC001847,CHOWDHURY & SONS CO PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,050,000.00","118,500.00",10-11-80,Tripura,RoC-Shillong,Agriculture and Allied Activities,RAJNAGARUDAIPUR SOUTH TRIPURA TRIPURA Tripura INDIA,Indian Non-Government Company
U50101TR1981PTC001889,GOYALS AUTOMOBILES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","600,000.00",13-08-81,Tripura,RoC-Shillong,Trading,"I D S COMPOUND HAFANIAP O AMTALI,AGARTALA TRIPURA TRIPURA Tripura INDIA",Indian Non-Government Company
U51909TR1982PTC001920,TRIM ASAN INDUSTRIES PVT LTD,ACTIVE,Private,Company Limited by Shares,"750,000.00","101,000.00",21-01-82,Tripura,RoC-Shillong,Trading,"Laxinarayan Bari Road, Banamalipur, Agartala-799001 WEST TRIPURA Tripura INDIA 799001",Indian Non-Government Company
U02001TR1983SGC002009,TRIPURA REHABILITATION PLANTATION CORPORATION LIMITED,ACTIVE,Public,Company Limited by Shares,"50,000,000.00","45,773,400.00",03-02-83,Tripura,RoC-Shillong,Agriculture and Allied Activities,"PALACE COMPOUND NORTH GATE, AGARTALA Tripura INDIA 799001",State Government Company
U31300TR1984PTC002131,TRIPURA WIRE AND ALLIED INDUSTRIES PVT LTD,DORMANT,Private,Company Limited by Shares,"1,000,000.00","20,000.00",11-01-84,Tripura,RoC-Shillong,Manufacturing (Machinery & Equipments),"Dhaleswar, Nutan Pally, Agartala Tripura INDIA 799007",Indian Non-Government Company
U91110TR1984NPL002163,TRIPURA CHAMBER OF COMMERCE AND INDUSTRY,ACTIVE,Public,Company Limited by Guarantee,NA,NA,24-04-84,Tripura,RoC-Shillong,"Community, personal & Social Services",AKHAURA ROAD TRIPURA WEST AGARTALA Tripura INDIA 799001,Company licensed under Section25
U01132TR1984PTC002200,UNOKOTI PLANTATIONS AND DEVELOPMENT CO.PVT.LTD.,STRIKE OFF,Private,Company Limited by Shares,"300,000.00","100,000.00",27-07-84,Tripura,RoC-Shillong,Agriculture and Allied Activities,"HARIGANGA ROAD,AGARTALADISTT.WEST TRIPURA Tripura INDIA",Indian Non-Government Company
U01122TR1987SGC002673,TRIPURA HORTICULTURE CORPORATION LIMITED,DORMANT,Public,Company Limited by Shares,"50,000,000.00","33,860,000.00",07-04-87,Tripura,RoC-Shillong,Agriculture and Allied Activities,PALACE COMPOUND P.O. AGARTALA AGARTALA Tripura INDIA 799001,State Government Company
U29303TR1987PTC002819,TRIPURA ELECTRICAL AND ELECTRONICS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"250,000.00","20,000.00",03-12-87,Tripura,RoC-Shillong,Manufacturing (Machinery & Equipments),"1, Mantribari Road, Agaartala Tripura INDIA 799001",Indian Non-Government Company
U15311TR1988PTC002950,MAHADEV ROLLER FLOUR MILLS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00","4,210.00",13-04-88,Tripura,RoC-Shillong,Manufacturing (Food stuffs),Agartala Tripura INDIA,Indian Non-Government Company
U25119TR1988PTC003116,TRIPURESWARI RUBBER PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","506,000.00",02-11-88,Tripura,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","Damdamia, Lemuchara Agartala Tripura INDIA",Indian Non-Government Company
U65921TR1989PLC003188,TRIPURA MOTOR AND GENERAL FINANCE LTD,STRIKE OFF,Public,Company Limited by Shares,"5,000,000.00","7,000.00",16-02-89,Tripura,RoC-Shillong,Finance,TRIPURA Tripura INDIA,Indian Non-Government Company
U15141TR1989PLC003252,TRIPURA VANASPATI AND ALLIED INDUSTRIES LTD,STRIKE OFF,Public,Company Limited by Shares,"15,000,000.00",73,07-04-89,Tripura,RoC-Shillong,Manufacturing (Food stuffs),C O T I DC BUILDING KUNJABAN Tripura INDIA 799006,Indian Non-Government Company
U23201TR1990SGC003451,TRIPURA NATURAL GAS CO LTD,ACTIVE,Public,Company Limited by Shares,"100,000,000.00","39,200,000.00",10-07-90,Tripura,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",33 OFFICE LANE AGARTALA Tripura INDIA 799001,State Government Company
U55101TR1991PTC003548,SAMBIT HOTEL PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","20,000.00",31-05-91,Tripura,RoC-Shillong,Trading,WEST TRIPURA WEST TRIPURA TRIPURA Tripura INDIA,Indian Non-Government Company
U27105TR1991PTC003566,GHAR UDYOG PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","60,000.00",04-07-91,Tripura,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)",H G BASAK ROAD POST OFFICECHOWMUNI AGARTALA TRIPURA Tripura INDIA 799001,Indian Non-Government Company
U25114TR1991PTC003624,TRINAYANI TYRES AND TUBES PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","1,205,000.00",27-11-91,Tripura,RoC-Shillong,"Manufacturing (Metals & Chemicals, and products thereof)","Banamalipur Agartala, Tripura INDIA 799001",Indian Non-Government Company
U67120TR1992PTC003665,AZONAL CREDIT AND INVESTMENT PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","5,000.00",28-02-92,Tripura,RoC-Shillong,Finance,C O NIPENDRA KR DEYAGARTALA WEST TRIPURA TRIPURA Tripura INDIA,Indian Non-Government Company
U60210TR1992PTC003699,DAY NIGHT TOURS AND EXPRESS PVT LTD,STRIKE OFF,Private,Company Limited by Shares,"300,000.00","10,500.00",28-04-92,Tripura,RoC-Shillong,"Transport, storage and Communications",BATTLA. MELAR MAT ROAD AGARTALA Tripura INDIA 799001,Indian Non-Government Company
