CORPORATE_IDENTIFICATION_NUMBER,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,DATE_OF_REGISTRATION,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U28991UR1994PTC001311,MASCOT FASTNERS PRIVATE LIMITED (O/N YASHVIR FASTNERS),ACTIVE,Private,Company Limited by Shares,"10,000,000.00","9,537,380.00",13-01-94,Uttarakhand,RoC-Uttarakhand,"Manufacturing (Metals & Chemicals, and products thereof)",Plot No. B-155 ESIP Sitarganj Sitarganj Uttarakhand INDIA 262405,Indian Non-Government Company
U24230UR2005PTC000876,MEEK PHARMA PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"20,000,000.00","20,000,000.00",01-08-05,Uttarakhand,RoC-Uttarakhand,"Manufacturing (Metals & Chemicals, and products thereof)",Village Lalpur-Rudrapur Kichha Road Rudrapur Uttarakhand INDIA 263153,Indian Non-Government Company
U20211UR2005PTC032621,AURO SUNDRAM PLY AND DOOR PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","10,000,000.00",07-09-05,Uttarakhand,RoC-Uttarakhand,Manufacturing (Wood Products),"KHASRA NO.217,356,357,360,361, RAIPUR INDUSTRIAL AREA, GAGALHERI ROAD, BHAGWANPUR ROORKEE Uttarakhand INDIA 247661",Indian Non-Government Company
U40100UR2003PLC033442,AGLAR POWER LIMITED,ACTIVE,Public,Company Limited by Shares,"100,000,000.00","87,264,400.00",31-10-03,Uttarakhand,RoC-Uttarakhand,"Electricity, Gas & Water companies","Waverly View Apartments, Near Waverly Convent School Mussoorie Uttarakhand INDIA 248179",Indian Non-Government Company
U27201UR2004PTC032332,SAVOIR FAIRE MANUFACTURING COMPANY PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","5,965,000.00",07-05-04,Uttarakhand,RoC-Uttarakhand,"Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO.29, SECTOR 3A INTEGRATED INDUSTRIAL ESTATE,SIDCUL HARIDWAR Uttarakhand INDIA 249403",Indian Non-Government Company
U24239UR1972PLC032471,YASH PHARMA LABORATORIES PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"55,000,000.00","52,400,000.00",18-11-72,Uttarakhand,RoC-Uttarakhand,"Manufacturing (Metals & Chemicals, and products thereof)","Khasara No.19, Village Raipur, Pargana Bhagwanpur, Tehsil Roorki, Dist-Haridwar, Uttaranchal Roorki Uttarakhand INDIA 247661",Indian Non-Government Company
U52201UR1997PTC000250,SHIV SHAKTI PROCESSED FOODS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"30,000,000.00","15,000,000.00",02-07-97,Uttarakhand,RoC-Uttarakhand,Trading,"SHIV SHAKTI PROCESSED FOODS PRIVATE LIMITED VILLAGE SHIMLA PISTOR, P.O. LAL PUR, KICHHA ROAD, RUDRAPUR Uttarakhand INDIA 263148",Indian Non-Government Company
U51310UR2004PTC001141,SCHDAN FASHION PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"50,000,000.00","10,250,050.00",06-09-04,Uttarakhand,RoC-Uttarakhand,Trading,"E 403, WINDLASS APARTMENT, CURZON ROAD, DALANWALA DEHRADUN Uttarakhand INDIA 248001",Indian Non-Government Company
U63040UR2005PTC032395,ELLEYS INDUSTRIES (INDIA) PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"10,000,000.00","6,806,250.00",04-05-05,Uttarakhand,RoC-Uttarakhand,"Transport, storage and Communications","PLOT NO. 54 TO 58, SECTOR 8A, SIDCUL IIE, HARIDWAR Uttarakhand INDIA 249401",Indian Non-Government Company
U29197UR2002PLC033315,FORBES AQUAMALL LIMITED,AMALGAMATED,Public,Company Limited by Shares,"5,000,000.00","5,000,000.00",28-08-02,Uttarakhand,RoC-Uttarakhand,Manufacturing (Machinery & Equipments),"KHASRA No. 3946,3961,3962 MAJRI GRANT LAL TAPPAR, INDUSTRIAL AREA DEHRADUN Uttarakhand INDIA 248140",Indian Non-Government Company
